Block,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01052024/31052024/2-R1,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01052024/31052024/MC120240501NR23436,NR/01102023/06022042/L_NR_2012_02,NR/01052024/31052024/IEX_240415_00115_1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/DC20240501NR23726,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23727,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01052024/31052024/DC20240501NR23735
1,00:00-00:15,75.5,25.17,62,0,0,0,0,0,0,0,0,0,25.16,0,0,62,27.61,21.66,0,0,0,0.000000,0.000000,0.000000,31.280000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,10.340000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.920000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

2,00:15-00:30,77.5,25.83,62.67,0,0,0,0,0,0,0,0,0,25.84,0,0,62.67,27.41,22,0,0,0,0.000000,0.000000,0.000000,31.280000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,10.340000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.920000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

3,00:30-00:45,80,26.67,63,0,0,0,0,0,0,0,0,0,26.66,0,0,63,27.21,22,0,0,0,0.000000,0.000000,0.000000,31.280000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,10.340000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.920000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

4,00:45-01:00,81.5,27.17,63.33,0,0,0,0,0,0,0,0,0,27.16,0,0,63.33,22.01,22.34,0,0,0,0.000000,0.000000,0.000000,31.280000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,10.340000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.920000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

5,01:00-01:15,83.5,27.83,63.33,0,0,0,0,0,0,0,0,0,27.84,0,0,63.33,21.61,22.66,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,10.340000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.740000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

6,01:15-01:30,85.5,28.5,64,0,0,0,0,0,0,0,0,0,28.5,0,0,64,21.01,22.66,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,10.340000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.740000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

7,01:30-01:45,87.5,29.17,65.33,0,0,0,0,0,0,0,0,0,29.16,0,0,65.33,20.4,22.66,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,8.550000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.740000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

8,01:45-02:00,89.5,29.83,65.33,0,0,0,0,0,0,0,0,0,29.84,0,0,65.33,19.4,23.34,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,9.070000,87.170000,0.000000,8.550000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.740000,4.830000,19.330000,39.620000,5.800000,273.250000,15.320000,6.760000,19.330000,24.700000,57.980000

9,02:00-02:15,82,27.33,65.67,0,0,0,0,0,0,0,0,0,27.34,0,0,65.67,16,24,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,8.840000,87.170000,0.000000,8.400000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.550000,4.830000,19.330000,39.620000,5.800000,273.250000,15.220000,6.760000,19.330000,24.700000,57.980000

10,02:15-02:30,82,27.33,66.67,0,0,0,0,0,0,0,0,0,27.34,0,0,66.67,15.2,24,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,8.840000,87.170000,0.000000,8.400000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.550000,4.830000,19.330000,39.620000,5.800000,273.250000,15.220000,6.760000,19.330000,24.700000,57.980000

11,02:30-02:45,82.5,27.5,55,0,0,0,0,0,0,0,0,0,27.5,0,0,55,13.6,20.34,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,8.840000,87.170000,0.000000,6.220000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.550000,4.830000,19.330000,39.620000,5.800000,273.250000,15.220000,6.760000,19.330000,24.700000,57.980000

12,02:45-03:00,82.5,27.5,54.33,0,0,0,0,0,0,0,0,0,27.5,0,0,54.33,13,20.34,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,8.840000,87.170000,0.000000,7.380000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.550000,4.830000,19.330000,39.620000,5.800000,273.250000,15.220000,6.760000,19.330000,24.700000,57.980000

13,03:00-03:15,82.5,27.5,49,0,0,0,0,0,0,0,0,0,27.5,0,0,49,12.41,16.66,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,8.840000,87.170000,0.000000,7.380000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.360000,4.830000,19.330000,39.620000,5.800000,273.250000,15.130000,6.760000,19.330000,24.700000,57.980000

14,03:15-03:30,83.5,27.83,49.67,0,0,0,0,0,0,0,0,0,27.84,0,0,49.67,12.01,17.34,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,8.840000,87.170000,0.000000,7.380000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.360000,4.830000,19.330000,39.620000,5.800000,273.250000,15.130000,6.760000,19.330000,24.700000,57.980000

15,03:30-03:45,60.5,20.17,50,0,0,0,0,0,0,0,0,0,20.16,0,0,50,11.61,18,0,0,0,0.000000,0.000000,0.000000,30.780000,0.000000,48.320000,46.390000,8.840000,87.170000,0.000000,7.380000,30.920000,48.320000,115.530000,30.920000,14.500000,262.380000,0.000000,7.670000,0.000000,8.360000,4.830000,19.330000,39.620000,5.800000,273.250000,15.130000,6.760000,19.330000,24.700000,57.980000

