Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/DC20240501NR23727,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/DC20240501NR23726,NR/01102023/30042040/GNA_LT_35,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/31122025/SH-07,NR/01052024/31052024/DC20240501NR23735,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/IEX_240415_00115_1,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/2-R1,NR/16042024/31052024/IEX_240323_06618,NR/30092023/26122029/SH-06,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,30.780000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.190000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,40.01,0,0,116.5,0,0

2,00:15-00:30,30.780000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.190000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,40.01,0,0,116.5,0,0

3,00:30-00:45,30.780000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.190000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,40.01,0,0,116.5,0,0

4,00:45-01:00,30.780000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.190000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,40.01,0,0,116.5,0,0

5,01:00-01:15,30.280000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.010000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,40.01,0,0,116.5,0,0

6,01:15-01:30,30.280000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.010000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,43.01,0,0,116.5,0,0

7,01:30-01:45,29.770000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.010000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,43.01,0,0,116.5,0,0

8,01:45-02:00,29.770000,19.330000,85.230000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,19.010000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,15.350000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,40.66,0,81.67,43.01,0,0,116.5,0,0

9,02:00-02:15,29.770000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,18.730000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,8.610000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,43.34,0,81.67,43.01,0,0,116.5,0,0

10,02:15-02:30,29.770000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,18.730000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,8.610000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,81.67,0,0,43.34,0,81.67,43.01,0,0,116.5,0,0

11,02:30-02:45,30.780000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,18.730000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,8.610000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,83.33,0,0,43.34,0,83.33,43.01,0,0,116.5,0,0

12,02:45-03:00,30.780000,19.330000,115.530000,10.340000,0.000000,6.760000,5.800000,10.570000,46.390000,87.170000,0.000000,4.830000,0.000000,18.730000,30.920000,57.980000,11.430000,0.000000,273.250000,39.620000,48.320000,48.320000,30.920000,8.610000,24.700000,262.380000,0.000000,14.500000,19.330000,0.000000,0.000000,38.83,0,0,0,0,38.84,0,0,0,83.33,0,0,43.34,0,83.33,43.01,0,0,116.5,0,0

