Block,Time,NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,WR/01102023/30052048/L_NR_2022_10,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01052024/31052024/DC20240501NR23726,NR/01102023/22052037/LT-59,NR/26072023/31072042/L_NR_2023_07,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/MC120240501NR23436,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01052024/31052024/2-R1,NR/01052024/31052024/DC20240501NR23735,NR/01052024/31052024/DC20240501NR23728,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23727,WR/01102023/16072048/L_NR_2022_08,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,NR/01102023/30042040/GNA_LT_35,NR/01042024/31072024/LT_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,WR/01102023/31032046/L_NR_2020_05,NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/25072045/L_NR_2021_15,NR/01052024/31052024/IEX_240416_00120_1,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/16042024/31052024/IEX_240323_06618,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31
1,00:00-00:15,19.330000,31.280000,36.16,40.01,0,0,24.700000,76.67,273.250000,30.920000,4.830000,10.340000,0,115.530000,87.170000,14.500000,0,0,48.320000,57.980000,6.760000,0,0,39.620000,5.800000,32.66,19.330000,0.000000,0,76.67,0,262.380000,0.000000,0,0.000000,15.360000,30.920000,0.000000,108.5,48.320000,0,46.390000,36.17,0,0.000000,0.000000,19.380000,48.320000,10.570000,0.000000

2,00:15-00:30,19.330000,31.280000,36.16,40.01,0,0,24.700000,76.67,273.250000,30.920000,4.830000,10.340000,0,115.530000,87.170000,14.500000,0,0,48.320000,57.980000,6.760000,0,0,39.620000,5.800000,32.66,19.330000,0.000000,0,76.67,0,262.380000,0.000000,0,0.000000,15.360000,30.920000,0.000000,108.5,48.320000,0,46.390000,36.17,0,0.000000,0.000000,19.380000,48.320000,10.570000,0.000000

3,00:30-00:45,19.330000,31.280000,36.16,40.01,0,0,24.700000,76.67,273.250000,30.920000,4.830000,10.340000,0,115.530000,87.170000,14.500000,0,0,48.320000,57.980000,6.760000,0,0,39.620000,5.800000,32.66,19.330000,0.000000,0,76.67,0,262.380000,0.000000,0,0.000000,15.360000,30.920000,0.000000,108.5,48.320000,0,46.390000,36.17,0,0.000000,0.000000,19.380000,48.320000,10.570000,0.000000

4,00:45-01:00,19.330000,31.280000,36.16,40.01,0,0,24.700000,76.67,273.250000,30.920000,4.830000,10.340000,0,115.530000,87.170000,14.500000,0,0,48.320000,57.980000,6.760000,0,0,39.620000,5.800000,32.66,19.330000,0.000000,0,76.67,0,262.380000,0.000000,0,0.000000,15.360000,30.920000,0.000000,108.5,48.320000,0,46.390000,36.17,0,0.000000,0.000000,19.380000,48.320000,10.570000,0.000000

5,01:00-01:15,19.330000,31.280000,36.16,40.01,0,0,24.700000,76.67,273.250000,30.920000,4.830000,10.340000,0,115.530000,87.170000,14.500000,0,0,48.320000,57.980000,6.760000,0,0,39.620000,5.800000,32.66,19.330000,0.000000,0,76.67,0,262.380000,0.000000,0,0.000000,15.360000,30.920000,11.150000,108.5,48.320000,0,46.390000,36.17,0,0.000000,0.000000,19.010000,48.320000,10.570000,0.000000

