Block,Time,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/16042024/31052024/IEX_240323_06618,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/IEX_240416_00120_1,WR/01102023/31032046/L_NR_2020_05,NR/01052024/31052024/MC120240501NR23436,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/2-R1,WR/01102023/01102023/L_NR_2020_06,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23726,WR/01102023/24112044/L_NR_2020_07,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,NR/01102023/30042040/GNA_LT_35,NR/01102023/14082046/L_NR_2021_16,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/DC20240501NR23728,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/01052024/31052024/DC20240501NR23735
1,00:00-00:15,0.000000,0.000000,19.330000,8.360000,27.250000,262.460000,15.870000,100.710000,30.930000,273.330000,57.970000,15.820000,10.380000,0,0,0,48.340000,22.55,0,22.55,0,0.000000,0.000000,8.34,0,0,5.800000,46.400000,25,14.500000,87.200000,48.340000,48.340000,8.34,30.930000,4.830000,8.33,9.330000,0,0.000000,0,19.330000,6.770000,0,0,0,39.630000,29.070000,0,0,0.000000,7.01,58.000000

2,00:15-00:30,0.000000,0.000000,19.330000,8.360000,27.250000,262.460000,15.870000,100.710000,30.930000,273.330000,57.970000,15.820000,10.380000,0,0,0,48.340000,23,0,23,0,0.000000,0.000000,8.34,0,0,5.800000,46.400000,25.5,14.500000,87.200000,48.340000,48.340000,8.5,30.930000,4.830000,8.5,9.330000,0,0.000000,0,19.330000,6.770000,0,0,0,39.630000,29.070000,0,0,0.000000,7.01,58.000000

3,00:30-00:45,0.000000,0.000000,19.330000,8.360000,28.260000,262.460000,15.870000,100.710000,30.930000,273.330000,57.970000,15.820000,10.000000,0,0,0,48.340000,24,0,24,0,0.000000,0.000000,8.34,0,0,5.800000,46.400000,26,14.500000,87.200000,48.340000,48.340000,8.66,30.930000,4.830000,8.67,9.330000,0,0.000000,0,19.330000,6.770000,0,0,0,39.630000,29.070000,0,0,0.000000,7.01,58.000000

4,00:45-01:00,0.000000,0.000000,19.330000,8.360000,28.260000,262.460000,15.870000,100.710000,30.930000,273.330000,57.970000,15.820000,10.000000,0,0,0,48.340000,24.67,0,24.67,0,0.000000,0.000000,8.34,0,0,5.800000,46.400000,26.5,14.500000,87.200000,48.340000,48.340000,8.84,30.930000,4.830000,8.83,9.330000,0,0.000000,0,19.330000,6.770000,0,0,0,39.630000,29.070000,0,0,0.000000,7.01,58.000000

5,01:00-01:15,0.000000,0.000000,19.330000,8.180000,28.260000,262.460000,15.780000,100.710000,30.930000,273.330000,57.970000,15.820000,9.840000,0,0,0,48.340000,26,0,26,0,0.000000,0.000000,8.34,0,0,5.800000,46.400000,27,14.500000,87.200000,48.340000,48.340000,9,30.930000,4.830000,9,9.330000,0,0.000000,0,19.330000,6.770000,0,0,0,39.630000,29.070000,0,0,0.000000,7.01,58.000000

