Block,Time,NR/01052024/31052024/2-R1,NR/01102023/15082037/GNA_NR_2012_01,NR/01052024/31052024/IEX_240416_00120_1,L_NR_2019_19,NR/01052024/31052024/DC20240501NR23728,NR/01102023/06022042/L_NR_2012_02,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/01102023/19072037/LT-05,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/01052024/31052024/DC20240501NR23726,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/14082046/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_07,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/IEX-240324-06625_1,NR/16042024/31052024/IEX_240323_06618,NR/30092023/26122029/SH-06,WR/01102023/29112042/L_NR_2019_05,NR/01052024/31052024/DC20240501NR23735,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/IEX-240323-06617_1,WR/01102023/16072048/L_NR_2022_08,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/DC20240501NR23727,NR/01102023/13082046/L_NR_2021_12,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/24112044/L_NR_2020_07,NR/01052024/31052024/M20240501NR23406,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,48.260000,0.000000,46.330000,0,6.760000,262.080000,55,0.000000,0,0,115.400000,0,0,70,4.830000,30.780000,0,87.070000,15.340000,14.480000,48.260000,19.310000,48.260000,30.890000,0,57.920000,0.000000,0.000000,10.560000,19.310000,20,0.000000,55,40.01,0,0,14.440000,0,0,15.480000,5.790000,0,30.890000,0,0,272.940000,23.33,39.580000,10.330000,0.000000,0.000000,23.34

2,00:15-00:30,48.260000,0.000000,46.330000,0,6.760000,262.080000,56,0.000000,0,0,115.400000,0,0,72.5,4.830000,30.780000,0,87.070000,15.340000,14.480000,48.260000,19.310000,48.260000,30.890000,0,57.920000,0.000000,0.000000,10.560000,19.310000,20.34,0.000000,56,40.01,0,0,14.440000,0,0,15.480000,5.790000,0,30.890000,0,0,272.940000,24.17,39.580000,10.330000,0.000000,0.000000,24.16

3,00:30-00:45,48.260000,0.000000,46.330000,0,6.760000,262.080000,58.33,0.000000,0,0,115.400000,0,0,73,4.830000,30.780000,0,87.070000,15.340000,14.480000,48.260000,19.310000,48.260000,30.890000,0,57.920000,0.000000,0.000000,10.560000,19.310000,20.66,0.000000,58.33,40.01,0,0,14.440000,0,0,15.480000,5.790000,0,30.890000,0,0,272.940000,24.33,39.580000,10.330000,0.000000,0.000000,24.34

4,00:45-01:00,48.260000,0.000000,46.330000,0,6.760000,262.080000,59.33,0.000000,0,0,115.400000,0,0,75.5,4.830000,30.780000,0,87.070000,15.340000,14.480000,48.260000,19.310000,48.260000,30.890000,0,57.920000,0.000000,0.000000,10.560000,19.310000,21,0.000000,59.33,40.01,0,0,14.440000,0,0,15.480000,5.790000,0,30.890000,0,0,272.940000,25.17,39.580000,10.330000,0.000000,0.000000,25.16

5,01:00-01:15,48.260000,0.000000,46.330000,0,6.760000,262.080000,61.67,0.000000,0,0,115.400000,0,0,76.5,4.830000,30.780000,0,87.070000,15.340000,14.480000,48.260000,19.310000,48.260000,30.890000,0,57.920000,0.000000,0.000000,10.560000,19.310000,21.34,0.000000,61.67,40.01,0,0,14.440000,0,0,15.480000,5.790000,0,30.890000,0,0,272.940000,25.5,39.580000,10.330000,0.000000,0.000000,25.5

