Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_02,NR/01052024/31052024/DC20240501NR23726,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/30092023/31122025/SH-07,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/M20240501NR23406,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,NR/01102023/31052040/LT-31,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/IEX-240323-06617_1,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/30042040/GNA_LT_36,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/16042024/31052024/IEX_240323_06618,NR/30092023/26122029/SH-06,NR/01052024/31052024/IEX-240324-06625_1,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01052024/31052024/2-R1,NR/01052024/31052024/DC20240501NR23727,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/30042040/GNA_LT_35,NR/01052024/31052024/DC20240501NR23735,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.000000,0,0,30.960000,14.510000,39.660000,12.66,0,0,0.000000,14.220000,12.67,0,0.000000,0.000000,38,28.33,100.780000,273.530000,19.350000,0,46.440000,85.900000,111.760000,0,0.000000,10,28.33,0,8.370000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,15.650000,30.280000,48.370000,0.000000,0.000000,0.000000,0

2,00:15-00:30,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.160000,0,0,30.960000,14.510000,39.660000,12.5,0,0,0.000000,14.220000,12.5,0,0.000000,0.000000,37.5,28,100.780000,273.530000,19.350000,0,46.440000,85.900000,107.500000,0,0.000000,10,28,0,8.370000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,15.650000,30.280000,48.370000,0.000000,0.000000,0.000000,0

3,00:30-00:45,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.620000,0,0,30.960000,14.510000,39.660000,12.34,0,0,0.000000,14.220000,12.33,0,0.000000,0.000000,37,27.33,100.780000,273.530000,19.350000,0,46.440000,85.900000,103.230000,0,0.000000,10,27.33,0,8.370000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,15.650000,30.280000,48.370000,0.000000,0.000000,0.000000,0

4,00:45-01:00,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.620000,0,0,30.960000,14.510000,39.660000,12.34,0,0,0.000000,14.220000,12.33,0,0.000000,0.000000,37,27,100.780000,273.530000,19.350000,0,46.440000,85.900000,98.970000,0,0.000000,9.66,27,0,8.370000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,15.650000,30.280000,48.370000,0.000000,0.000000,0.000000,0

5,01:00-01:15,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.620000,0,0,30.960000,14.510000,39.660000,9.16,0,0,0.000000,14.040000,9.17,0,0.000000,0.000000,27.5,26.67,100.780000,273.530000,19.350000,0,46.440000,85.900000,94.700000,0,0.000000,9.66,26.67,0,8.280000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,15.650000,29.770000,48.370000,0.000000,0.000000,0.000000,0

6,01:15-01:30,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.620000,0,0,30.960000,14.510000,39.660000,9,0,0,0.000000,14.040000,9,0,0.000000,0.000000,27,26,100.780000,273.530000,19.350000,0,46.440000,85.900000,90.430000,0,0.000000,9.66,26,0,8.280000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,15.650000,29.770000,48.370000,0.000000,0.000000,0.000000,0

7,01:30-01:45,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.620000,0,0,30.960000,14.510000,39.660000,8.84,0,0,0.000000,14.040000,8.83,0,0.000000,0.000000,26.5,21.33,100.780000,273.530000,19.350000,0,46.440000,85.900000,86.170000,0,0.000000,7.34,21.33,0,8.280000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,9.610000,29.770000,48.370000,0.000000,0.000000,0.000000,0

8,01:45-02:00,8.620000,0,0,262.650000,4.840000,6.770000,29.090000,7.620000,0,0,30.960000,14.510000,39.660000,8.66,0,0,0.000000,14.040000,8.67,0,0.000000,0.000000,26,21,100.780000,273.530000,19.350000,0,46.440000,85.900000,81.900000,0,0.000000,7.34,21,0,8.280000,0,0,48.370000,30.960000,19.350000,6.61,0,48.370000,5.800000,9.610000,29.770000,48.370000,0.000000,0.000000,0.000000,0

9,02:00-02:15,8.310000,0,0,262.650000,4.840000,6.770000,29.090000,7.390000,0,0,30.960000,14.510000,39.660000,8.66,0,0,0.000000,13.850000,8.67,0,0.000000,0.000000,26,20.67,100.780000,273.530000,19.350000,0,46.440000,85.900000,77.630000,0,0.000000,7.34,20.67,0,8.140000,0,0,48.370000,25.000000,19.350000,6.61,0,48.370000,5.800000,7.910000,29.770000,48.370000,0.000000,0.000000,0.000000,0

10,02:15-02:30,8.310000,0,0,262.650000,4.840000,6.770000,29.090000,7.390000,0,0,30.960000,14.510000,39.660000,8.66,0,0,0.000000,13.850000,8.67,0,0.000000,0.000000,26,20.33,100.780000,273.530000,19.350000,0,46.440000,85.900000,73.370000,0,0.000000,7.34,20.33,0,8.140000,0,0,48.370000,25.000000,19.350000,6.61,0,48.370000,5.800000,7.910000,29.770000,48.370000,0.000000,0.000000,0.000000,0

