Block,Time,NR/01102023/30042040/GNA_LT_35,NR/01052024/31052024/2-R1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/16042024/31052024/IEX_240323_06618,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23727,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/IEX-240324-06625_1,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/DC20240501NR23726,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23735,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/IEX_240415_00115_1,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,0.000000,48.360000,0.000000,4.380000,0.000000,12.950000,48.360000,273.450000,87.230000,100.750000,4.270000,30.950000,30.950000,5.800000,26.240000,19.340000,14.400000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.81,0,0,0,0,0,0,60,0,31.66,28.34,95,60,31.67,0,0,0,0,0,0,0

2,00:15-00:30,0.000000,48.360000,0.000000,4.380000,0.000000,12.950000,48.360000,273.450000,87.230000,100.750000,4.270000,30.950000,30.950000,5.800000,26.240000,19.340000,14.400000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.81,0,0,0,0,0,0,60,0,31.66,28.34,95,60,31.67,0,0,0,0,0,0,0

3,00:30-00:45,0.000000,48.360000,0.000000,4.380000,0.000000,12.950000,48.360000,273.450000,87.230000,100.750000,4.520000,30.950000,30.950000,5.800000,26.240000,19.340000,14.400000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.81,0,0,0,0,0,0,59,0,31.66,28.34,95,59,31.67,0,0,0,0,0,0,0

4,00:45-01:00,0.000000,48.360000,0.000000,4.380000,0.000000,12.950000,48.360000,273.450000,87.230000,100.750000,4.520000,30.950000,30.950000,5.800000,26.240000,19.340000,14.400000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.81,0,0,0,0,0,0,57.67,0,31.66,28.34,95,57.67,31.67,0,0,0,0,0,0,0

5,01:00-01:15,0.000000,48.360000,0.000000,4.300000,0.000000,12.950000,48.360000,273.450000,87.230000,100.750000,4.520000,30.950000,30.950000,5.800000,26.240000,19.340000,14.220000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.81,0,0,0,0,0,0,58,0,31.66,25.34,95,58,31.67,0,0,0,0,0,0,0

6,01:15-01:30,0.000000,48.360000,0.000000,4.300000,0.000000,12.950000,48.360000,273.450000,87.230000,100.750000,4.520000,30.950000,30.950000,5.800000,26.240000,19.340000,14.220000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.01,0,0,0,0,0,0,58,0,31.66,25.34,95,58,31.67,0,0,0,0,0,0,0

7,01:30-01:45,0.000000,48.360000,0.000000,4.300000,0.000000,13.920000,48.360000,273.450000,87.230000,100.750000,4.520000,30.950000,30.950000,5.800000,26.240000,19.340000,14.220000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.01,0,0,0,0,0,0,63.33,0,31.66,26,95,63.33,31.67,0,0,0,0,0,0,0

8,01:45-02:00,0.000000,48.360000,0.000000,4.300000,0.000000,14.560000,48.360000,273.450000,87.230000,100.750000,4.520000,30.950000,30.950000,5.800000,26.240000,19.340000,14.220000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.01,0,0,0,0,0,0,63.33,0,31.34,26.66,94,63.33,31.33,0,0,0,0,0,0,0

9,02:00-02:15,0.000000,48.360000,0.000000,4.300000,0.000000,15.550000,48.360000,273.450000,87.230000,68.780000,4.670000,30.950000,30.950000,5.800000,26.240000,19.340000,14.130000,19.340000,6.770000,4.840000,14.510000,39.650000,0.000000,115.620000,3.720000,0.000000,0.000000,46.420000,262.570000,0.000000,0.000000,48.360000,6.01,0,0,0,0,0,0,63.33,0,31.16,26.66,93.5,63.33,31.17,0,0,0,0,0,0,0

