Block,Time,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/M20240501NR23406,NR/01102023/31052040/LT-31,NR/01052024/31052024/IEX_240416_00120_1,NR/01052024/31052024/DC20240501NR23726,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/30042040/GNA_LT_35,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/MC120240501NR23436,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/IEX_240415_00115_1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01052024/31052024/DC20240501NR23735,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/2-R1,NR/16042024/31052024/IEX_240323_06618,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,19.340000,39.650000,0.000000,46.420000,4.840000,0.000000,0.000000,262.570000,0.000000,30.260000,5.800000,0.000000,0.000000,6.770000,19.340000,14.510000,25.730000,13.020000,3.440000,48.360000,16.130000,0.000000,273.450000,29.080000,30.260000,115.620000,0.000000,87.230000,48.360000,48.360000,100.750000,4.150000,14.17,33.67,14.16,0,14,0,0,0,0,11.66,0,0,0,0,0,42.5,33.67,0,0,0,0

2,00:15-00:30,19.340000,39.650000,0.000000,46.420000,4.840000,0.000000,0.000000,262.570000,0.000000,30.260000,5.800000,0.000000,0.000000,6.770000,19.340000,14.510000,25.730000,13.020000,3.440000,48.360000,16.130000,0.000000,273.450000,29.080000,30.260000,115.620000,0.000000,87.230000,48.360000,48.360000,100.750000,4.150000,14.33,34.33,14.34,0,13.2,0,0,0,0,11.66,0,0,0,0,0,43,34.33,0,0,0,0

3,00:30-00:45,19.340000,39.650000,0.000000,46.420000,4.840000,0.000000,4.350000,262.570000,0.000000,30.260000,5.800000,0.000000,0.000000,6.770000,19.340000,14.510000,25.730000,13.020000,3.440000,48.360000,16.130000,0.000000,273.450000,29.080000,30.260000,115.620000,0.000000,87.230000,48.360000,48.360000,100.750000,4.150000,14.33,35,14.34,0,12.21,0,0,0,0,12,0,0,0,0,0,43,35,0,0,0,0

4,00:45-01:00,19.340000,39.650000,0.000000,46.420000,4.840000,0.000000,4.350000,262.570000,0.000000,30.260000,5.800000,0.000000,0.000000,6.770000,19.340000,14.510000,25.730000,13.020000,3.440000,48.360000,16.130000,0.000000,273.450000,29.080000,30.260000,115.620000,0.000000,87.230000,48.360000,48.360000,100.750000,4.150000,14.5,35.67,14.5,0,11.41,0,0,0,0,12,0,0,0,0,0,43.5,35.67,0,0,0,0

5,01:00-01:15,19.340000,39.650000,0.000000,46.420000,4.840000,0.000000,4.350000,262.570000,0.000000,30.260000,5.800000,0.000000,0.000000,6.770000,19.340000,14.510000,25.730000,12.930000,3.440000,48.360000,16.130000,0.000000,273.450000,29.080000,30.260000,115.620000,0.000000,87.230000,48.360000,48.360000,100.750000,4.080000,14.5,36.33,14.5,0,10.61,0,0,0,0,12,0,0,0,0,0,43.5,36.33,0,0,0,0

