Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/5280,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/4444,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/8456,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8510,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,31.21,6.75,20.54,41.07,20.54,11.91,-0,11.92,88.33,15.32,20.85,53.39,41.07,19.33,29.17,130.75,0,115.92,41.07,20.54,8.33,0,25.01,0,0,0,0,0,0,0,0,0,2.67,8.33,0,0,0,0,0,87.17,0,10.34,10.79,0,7.32,14.89,0,17.64,30,273.25,10.6,13.65,28.26

2,00:15-00:30,31.81,6.75,20.54,41.07,20.54,11.91,-0,11.92,88.33,15.32,20.85,53.39,41.07,19.33,29.17,130.75,0,115.92,41.07,20.54,8.33,0,25.01,0,0,0,0,0,0,0,0,0,2.67,8.33,0,0,0,0,0,87.17,0,10.34,10.79,0,7.32,14.89,0,23.64,30,273.25,10.6,13.65,28.76

3,00:30-00:45,24.01,6.75,20.54,41.07,20.54,11.91,-0,11.92,88.33,15.32,20.85,53.39,41.07,19.33,29.17,130.75,0,115.92,41.07,20.54,8.33,0,25.01,0,0,0,0,0,0,0,0,0,2.67,8.33,0,0,0,0,0,87.17,0,10.34,10.79,0,7.09,14.89,0,23.64,30,273.25,10.6,13.65,28.76

4,00:45-01:00,23.21,6.75,20.54,41.07,20.54,11.91,-0,11.92,88.33,15.32,20.85,53.39,41.07,19.33,29.17,130.75,0,103.67,41.07,20.54,8.17,0,24.49,0,0,0,0,0,0,0,0,0,2.67,8.17,0,0,0,0,0,87.17,0,10.34,10.79,0,7.09,14.89,0,23.64,30,273.25,10.6,13.65,29.26

5,01:00-01:15,21.81,6.56,20.54,41.07,20.54,11.91,-0,11.92,88.33,15.32,20.85,53.39,41.07,19.33,29.17,130.75,0,115.92,41.07,20.54,8,0,24,0,0,0,0,0,0,0,0,0,2.67,8,0,0,0,0,0,87.17,0,10.34,10.79,0,7.09,14.89,0,23.64,30,273.25,10.6,13.65,29.26

6,01:15-01:30,21.41,6.56,20.54,41.07,20.54,11.91,-0,11.92,88.33,15.32,20.85,53.39,41.07,19.33,29.17,130.75,0,115.92,41.07,20.54,7.83,0,23.51,0,0,0,0,0,0,0,0,0,2.67,7.83,0,0,0,0,0,87.17,0,10.34,10.79,0,7.09,14.89,0,23.64,30,273.25,10.6,13.65,29.26

