Time,Block,NR/2024/21279/A/25079,NR/30092023/31122025/SH-07,NR/2024/21108/A/25133,NR/2024/21153/A/24840,NR/2024/21099/A/25007,NR/2024/21023/A/24852,NR/2024/21089/A/25120,NR/2024/20877/A/25146,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/2024/20688/A/24873,NR/2024/21096/A/25139,NR/2024/21238/A/25165,NR/2024/21103/A/25137,NR/2024/21072/A/25121,NR/2024/21173/A/24871,NR/2024/20574/A/24930,NR/2024/21113/A/25119,NR/2024/21227/A/25136,NR/2024/21303/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20930/A/25074,NR/2024/21152/A/24795,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21243/A/24901,NR/2024/20573/A/24924,NR/2024/21304/C,NR/2024/21062/A/24944,NR/2024/21104/A/25135,NR/30092023/26122029/SH-06,NR/2024/21160/A/24836,NR/2024/21305/C,NR/2024/21210/A/24993,NR/2024/21302/C,NR/2024/21322/C,NR/2024/20711/A/25087,NR/2024/21186/A/25145,NR/2024/21148/A/24837,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21311/C,NR/2024/21076/A/25159,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/R2,NR/2024/21183/A/25163,NR/2024/21146/A/24838,NR/2024/21199/A/24864,NR/2024/21313/C,NR/2024/21075/A/25164,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/19779/A/24968,NR/2024/21087/A/24872,NR/2024/21141/A/25000,NR/2024/21142/A/24996,NR/2024/21159/A/24874,NR/2024/21158/A/24842,NR/2024/20966/A/24796,NR/2024/21150/A/24839,NR/2024/21156/A/24841,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21333/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total

3,00:30-00:45,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,72.290000,11.710000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2558.48

4,00:45-01:00,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,72.290000,11.710000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2558.48

5,01:00-01:15,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2485.95

6,01:15-01:30,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2485.95

7,01:30-01:45,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2485.95

8,01:45-02:00,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2485.95

9,02:00-02:15,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.500000,0,0,2473.58

10,02:15-02:30,0.000000,32.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.500000,0,0,2473.58

11,02:30-02:45,0.000000,24.370000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,24.370000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.500000,0,0,2458.32

12,02:45-03:00,0.000000,24.370000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,24.370000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,38.560000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.630000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.500000,0,0,2458.32

13,03:00-03:15,0.000000,24.370000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,24.370000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.310000,0,0,2371.8

14,03:15-03:30,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.310000,0,0,2376.88

15,03:30-03:45,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.310000,0,0,2376.88

16,03:45-04:00,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.310000,0,0,2376.88

17,04:00-04:15,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.030000,0,0,2376.6

18,04:15-04:30,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.030000,0,0,2376.6

19,04:30-04:45,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.030000,0,0,2376.6

20,04:45-05:00,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.030000,0,0,2376.6

21,05:00-05:15,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2140.17

22,05:15-05:30,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2140.17

23,05:30-05:45,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2140.17

24,05:45-06:00,0.000000,26.910000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,26.910000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.530000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2140.17

25,06:00-06:15,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.670000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.490000,0,0,2048.15

26,06:15-06:30,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.670000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.490000,0,0,2048.15

27,06:30-06:45,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.670000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.490000,0,0,2048.15

28,06:45-07:00,0.000000,26.320000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,72.290000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,24.100000,48.200000,240.980000,7.710000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,11.710000,192.780000,0.670000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.490000,0,0,2048.15

