Block,Time,NR/09052024/09052024/PXIL_WBSEDCL,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/DC20240501NR23726,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/19072037/LT-05,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/M20240501NR23406,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/2-R1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01052024/31052024/IEX-240323-06617_1,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,NR/01052024/31052024/IEX_240416_00120_1,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01052024/31052024/DC20240501NR23735,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01052024/31052024/MC120240501NR23436
1,00:00-00:15,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.310000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,21.67,0,46.440000,55,65,0,0,15,30.780000,21.66,21.66,55,0,0,0,0,0,0.000000,0,0,14.510000

2,00:15-00:30,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.310000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,22,0,46.440000,55,66,0,0,14.8,30.780000,22,21.66,55,0,0,0,0,0,0.000000,0,0,14.510000

3,00:30-00:45,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.090000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,22.33,0,46.440000,55.67,67,0,0,6.61,30.780000,22.34,21.66,55.67,0,0,0,0,0,0.000000,0,0,14.510000

4,00:45-01:00,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.090000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,23,0,46.440000,56.33,69,0,0,6.61,30.280000,23,21.66,56.33,0,0,0,0,0,0.000000,0,0,14.510000

5,01:00-01:15,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.090000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,23.83,0,46.440000,56.67,71.5,0,0,6.61,30.280000,23.84,21.66,56.67,0,0,0,0,0,0.000000,0,0,14.510000

6,01:15-01:30,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.090000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,24.67,0,46.440000,55.33,74,0,0,6.61,30.280000,24.66,21.66,55.33,0,0,0,0,0,0.000000,0,0,14.510000

7,01:30-01:45,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.090000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,25.33,0,46.440000,55.67,76,0,0,6.61,30.280000,25.34,21.66,55.67,0,0,0,0,0,0.000000,0,0,14.510000

8,01:45-02:00,0.000000,48.370000,4.840000,8.460000,19.350000,115.650000,29.090000,15.650000,6.770000,24.180000,0.000000,0.000000,16.530000,87.260000,48.370000,262.650000,8.560000,0.000000,48.370000,0.000000,273.530000,6.970000,5.800000,0.000000,0.000000,30.960000,100.780000,30.960000,19.350000,0,0,26,0,46.440000,56,78,0,0,6.61,30.280000,26,21.34,56,0,0,0,0,0,0.000000,0,0,14.510000

9,02:00-02:15,0.000000,48.370000,4.840000,8.230000,19.350000,115.650000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.440000,87.260000,48.370000,262.650000,8.250000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,3.820000,100.780000,30.960000,19.350000,0,0,26.67,0,46.440000,61.67,80,0,0,6.61,30.280000,26.66,21,61.67,0,0,0,0,0,0.000000,0,0,14.510000

10,02:15-02:30,0.000000,48.370000,4.840000,8.230000,19.350000,115.650000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.440000,87.260000,48.370000,262.650000,8.250000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,3.820000,100.780000,30.960000,19.350000,0,0,26.33,0,46.440000,61.33,79,0,0,6.61,30.280000,26.34,20.66,61.33,0,0,0,0,0,0.000000,0,0,14.510000

11,02:30-02:45,0.000000,48.370000,4.840000,8.850000,19.350000,115.650000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.440000,76.710000,48.370000,262.650000,8.950000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,22.220000,100.780000,30.960000,19.350000,0,0,26,0,46.440000,61,78,0,0,6.61,30.280000,26,20.34,61,0,0,0,0,0,0.000000,0,0,14.510000

12,02:45-03:00,0.000000,48.370000,4.840000,8.850000,19.350000,115.650000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.440000,76.710000,48.370000,262.650000,8.950000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,22.220000,100.780000,30.960000,19.350000,0,0,25.83,0,46.440000,60.67,77.5,0,0,6.61,30.280000,25.84,20,60.67,0,0,0,0,0,0.000000,0,0,14.510000

13,03:00-03:15,0.000000,48.370000,4.840000,8.770000,19.350000,115.650000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.250000,76.710000,48.370000,262.650000,8.950000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,22.220000,62.880000,22.220000,19.350000,0,0,26.67,0,46.440000,60,80,0,0,6.61,30.280000,26.66,21.66,60,0,0,0,0,0,0.000000,0,0,14.510000

14,03:15-03:30,0.000000,48.370000,4.840000,8.770000,19.350000,115.650000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.250000,76.710000,48.370000,262.650000,8.950000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,22.220000,53.210000,22.220000,19.350000,0,0,26.67,0,46.440000,59.67,80,0,0,6.61,30.280000,26.66,21.66,59.67,0,0,0,0,0,0.000000,0,0,14.510000

15,03:30-03:45,0.000000,48.370000,4.840000,8.770000,19.350000,85.320000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.250000,76.710000,48.370000,242.410000,8.950000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,22.220000,53.210000,22.220000,19.350000,0,0,27.5,0,46.440000,59.33,82.5,0,0,6.61,30.280000,27.5,21.66,59.33,0,0,0,0,0,0.000000,0,0,14.510000

16,03:45-04:00,0.000000,48.370000,4.840000,8.770000,19.350000,66.350000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.250000,76.710000,48.370000,242.410000,8.950000,0.000000,48.370000,0.000000,273.530000,6.790000,5.800000,0.000000,0.000000,22.220000,53.210000,22.220000,19.350000,0,0,27.5,0,46.440000,58.67,82.5,0,0,6.61,30.280000,27.5,21.34,58.67,0,0,0,0,0,0.000000,0,0,14.510000

17,04:00-04:15,0.000000,48.370000,4.840000,8.620000,19.350000,66.350000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.070000,76.330000,48.370000,226.930000,8.720000,0.000000,48.370000,0.000000,273.530000,6.610000,5.800000,0.000000,0.000000,22.220000,53.210000,22.220000,19.350000,0,0,27.33,0,46.440000,61.67,82,0,0,6.61,30.280000,27.34,21,61.67,0,0,0,0,0,0.000000,0,0,14.510000

18,04:15-04:30,0.000000,48.370000,4.840000,8.620000,19.350000,66.350000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.070000,57.300000,48.370000,226.930000,8.720000,0.000000,48.370000,0.000000,273.530000,6.610000,5.800000,0.000000,0.000000,22.220000,53.210000,22.220000,19.350000,0,0,27.17,0,46.440000,61.33,81.5,0,0,6.61,30.280000,27.16,20,61.33,0,0,0,0,0,0.000000,0,0,14.510000

19,04:30-04:45,0.000000,48.370000,4.840000,8.620000,19.350000,66.350000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.070000,57.300000,48.370000,226.930000,8.720000,0.000000,48.370000,0.000000,273.530000,6.610000,5.800000,0.000000,0.000000,13.500000,53.210000,30.960000,19.350000,0,0,26.67,0,46.440000,57.33,80,0,0,6.61,30.280000,26.66,20.66,57.33,0,0,0,0,0,0.000000,0,0,14.510000

20,04:45-05:00,0.000000,48.370000,4.840000,8.620000,19.350000,66.350000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,16.070000,57.300000,48.370000,226.930000,8.720000,0.000000,48.370000,0.000000,273.530000,6.610000,5.800000,0.000000,0.000000,13.500000,53.210000,30.960000,19.350000,0,0,26.33,0,46.440000,57,79,0,0,6.61,30.280000,26.34,20.34,57,0,0,0,0,0,0.000000,0,0,14.510000

21,05:00-05:15,0.000000,48.370000,4.840000,8.620000,19.350000,66.350000,29.090000,8.650000,6.770000,24.180000,0.000000,0.000000,15.880000,57.300000,48.370000,178.560000,8.720000,0.000000,48.370000,0.000000,273.530000,6.610000,5.800000,0.000000,0.000000,13.500000,53.210000,30.960000,19.350000,0,0,28,0,46.440000,56.67,84,0.02,0,6.61,30.280000,28,20,56.67,0,0,0,0,0,0.000000,0.09,0,14.510000

