Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/DC20240501NR23728,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23726,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01052024/31052024/MC120240501NR23436,NR/17052024/17052024/DD20240517NR24470,NR/01052024/31052024/DC20240501NR23735,NR/01102023/31052040/LT-31,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/23072042/L_NR_2012_04,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/IEX_240416_00120_1,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/M20240501NR23406,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/DC20240501NR23727,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/IEX_240415_00115_1,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/2-R1,NR/17052024/17052024/IEX_240516_00570,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01042024/31072024/LT_MEJA_DELHI,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,87.200000,6.770000,30.930000,4.830000,100.710000,0.000000,262.460000,14.500000,0.000000,58.000000,0.000000,29.070000,0.000000,48.340000,46.400000,0.000000,39.630000,9.300000,0.000000,5.800000,57.970000,10.420000,19.330000,48.340000,30.930000,0.000000,28.260000,48.340000,96.670000,10.770000,273.330000,18.180000,16.120000,7.01,0,0,0,0,49.5,16.5,0,0,0,0,0,0,40,16.5,0,0,0,40,11.34,0

2,00:15-00:30,87.200000,6.770000,30.930000,4.830000,100.710000,0.000000,262.460000,14.500000,0.000000,58.000000,0.000000,29.070000,0.000000,48.340000,46.400000,0.000000,39.630000,9.300000,0.000000,5.800000,57.970000,10.420000,19.330000,48.340000,30.930000,0.000000,28.260000,48.340000,96.670000,10.770000,273.330000,18.180000,16.120000,7.01,0,0,0,0,42.5,14.16,0,0,0,0,0,0,32,14.17,0,0,0,32,11.34,0

3,00:30-00:45,87.200000,6.770000,30.930000,4.830000,100.710000,0.000000,262.460000,14.500000,0.000000,58.000000,0.000000,29.070000,0.000000,48.340000,46.400000,0.000000,39.630000,9.300000,0.000000,5.800000,57.970000,10.420000,19.330000,48.340000,30.930000,0.000000,28.260000,48.340000,96.670000,10.770000,273.330000,18.180000,16.120000,7.01,0,0,0,0,42.5,14.16,0,0,0,0,0,0,32.67,14.17,0,0,0,32.67,11.34,0

4,00:45-01:00,87.200000,6.770000,30.930000,4.830000,100.710000,0.000000,262.460000,14.500000,0.000000,58.000000,0.000000,29.070000,0.000000,48.340000,46.400000,0.000000,39.630000,9.300000,0.000000,5.800000,57.970000,10.420000,19.330000,48.340000,30.930000,0.000000,28.260000,48.340000,96.670000,10.770000,273.330000,18.180000,16.120000,7.01,0,0,0,0,43.5,14.5,0,0,0,0,0,0,33,14.5,0,0,0,33,11.34,0

5,01:00-01:15,87.200000,6.770000,30.930000,4.830000,100.710000,0.000000,262.460000,14.500000,145.000000,58.000000,0.000000,29.070000,0.000000,48.340000,46.400000,0.000000,39.630000,9.110000,0.000000,5.800000,57.970000,10.420000,19.330000,48.340000,30.930000,0.000000,27.750000,48.340000,96.670000,10.540000,273.330000,17.900000,16.120000,7.01,0,0,0,0,43.5,14.5,0,0,0,0,0,0,33.33,14.5,0,0,0,33.33,15,0

