Block,Time,WR/01102023/30052048/L_NR_2022_10,NR/01052024/31052024/DC20240501NR23735,NR/01052024/31052024/IEX_240416_00120_1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/IEX-240324-06625_1,NR/16042024/31052024/IEX_240323_06618,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01052024/31052024/MC120240501NR23436,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/01052024/31052024/2-R1,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/06022042/L_NR_2012_02,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/IEX-240323-06617_1,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/23072042/L_NR_2012_04,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01052024/31052024/DC20240501NR23727,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01052024/31052024/DC20240501NR23726,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/DC20240501NR23728
1,00:00-00:15,63.67,57.920000,46.330000,16.100000,19.310000,48.260000,272.940000,30.890000,0,63.67,0,0,14.480000,10.560000,31.590000,9.61,27.5,82.5,0.000000,100.560000,10.410000,0,48.260000,18.240000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,25.34,0,0,0.000000,27.5,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

2,00:15-00:30,63.67,57.920000,46.330000,16.100000,19.310000,48.260000,272.940000,30.890000,0,63.67,0,0,14.480000,10.560000,31.590000,9.41,28,84,0.000000,100.560000,10.410000,0,48.260000,18.240000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,25.66,0,0,0.000000,28,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

3,00:30-00:45,63.33,57.920000,46.330000,16.100000,19.310000,48.260000,272.940000,30.890000,0,63.33,0,0,14.480000,10.560000,31.590000,9.21,28.5,85.5,0.000000,100.560000,10.410000,0,48.260000,18.240000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,26.34,0,0,0.000000,28.5,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

4,00:45-01:00,63.67,57.920000,46.330000,16.100000,19.310000,48.260000,272.940000,30.890000,0,63.67,0,0,14.480000,10.560000,31.590000,9.01,28.67,86,0.000000,100.560000,10.410000,0,48.260000,18.240000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,26.66,0,0,0.000000,28.66,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

5,01:00-01:15,62.67,57.920000,46.330000,15.610000,19.310000,48.260000,272.940000,30.890000,0,62.67,0,0,14.480000,10.560000,31.590000,8.01,28.83,86.5,0.000000,100.560000,10.410000,0,48.260000,18.060000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,27,0,0,0.000000,28.84,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

6,01:15-01:30,62.33,57.920000,46.330000,15.610000,19.310000,48.260000,272.940000,30.890000,0,62.33,0,0,14.480000,10.560000,31.590000,8.01,29,87,0.000000,100.560000,10.410000,0,48.260000,18.060000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,27,0,0,0.000000,29,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

7,01:30-01:45,62.67,57.920000,46.330000,15.610000,19.310000,48.260000,272.940000,30.890000,0,62.67,0,0,14.480000,10.560000,31.590000,8.01,29.17,87.5,0.000000,100.560000,10.410000,0,48.260000,18.060000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,23,0,0,0.000000,29.16,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

8,01:45-02:00,63.67,57.920000,46.330000,7.660000,19.310000,48.260000,272.940000,30.890000,0,63.67,0,0,14.480000,10.560000,31.590000,8.01,29.17,87.5,0.000000,100.560000,10.410000,0,48.260000,18.060000,262.080000,24.670000,87.070000,0,0,0.000000,19.310000,23,0,0,0.000000,29.16,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.600000,6.760000

9,02:00-02:15,63.33,57.920000,46.330000,7.660000,19.310000,48.260000,272.940000,30.890000,0,63.33,0,0,14.480000,10.560000,31.290000,7.01,29.17,87.5,0.000000,100.560000,10.410000,0,48.260000,17.880000,262.080000,21.490000,87.070000,0,0,39.580000,19.310000,23,0,0,0.000000,29.16,0,0,0,0.000000,0,0,0,5.790000,0.000000,0.000000,4.830000,115.400000,30.890000,48.260000,11.420000,6.760000

