Block,Time,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/DC20240501NR23735,NR/11052024/11052024/IEX-240510-00502,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/DC20240501NR23728,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/2-R1,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/22052037/LT-59,NR/01052024/31052024/M20240501NR23406,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/DC20240501NR23726,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/11052024/11052024/IEX-240510-00503,NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01052024/31052024/MC120240501NR23436,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/IEX_240416_00120_1,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/31052040/LT-31,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,8.180000,0.000000,0.000000,96.740000,273.530000,15.650000,19.350000,48.370000,6.770000,115.650000,0.000000,100.780000,29.090000,87.260000,10.000000,5.800000,48.370000,30.280000,0.000000,9.490000,39.660000,262.650000,15.930000,48.370000,4.840000,16.070000,193.480000,0.000000,15.930000,14.510000,0.000000,46.440000,19.350000,0.000000,0,0,0,0,35.11,11.7,0,6.61,0,0,0,25.29,11.71,7.34,25.29,0,0,0,0,0,0

2,00:15-00:30,8.180000,0.000000,0.000000,96.740000,273.530000,15.650000,19.350000,48.370000,6.770000,115.650000,0.000000,100.780000,29.090000,87.260000,10.000000,5.800000,48.370000,30.280000,0.000000,9.490000,39.660000,262.650000,15.930000,48.370000,4.840000,16.070000,193.480000,0.000000,15.930000,14.510000,0.000000,46.440000,19.350000,0.000000,0,0,0,0,35.03,11.68,0,6.61,0,0,0,24.92,11.68,7.34,24.92,0,0,0,0,0,0

3,00:30-00:45,8.370000,0.000000,0.000000,96.740000,273.530000,15.650000,19.350000,48.370000,6.770000,115.650000,0.000000,100.780000,29.090000,87.260000,10.000000,5.800000,48.370000,30.280000,0.000000,9.490000,39.660000,262.650000,30.960000,48.370000,4.840000,16.070000,193.480000,0.000000,15.930000,14.510000,0.000000,46.440000,19.350000,0.000000,0,0,0,0,34.58,11.53,0,6.61,0,0,0,24.54,11.52,7.34,24.54,0,0,0,0,0,0

4,00:45-01:00,8.370000,0.000000,0.000000,96.740000,273.530000,15.650000,19.350000,48.370000,6.770000,115.650000,0.000000,100.780000,29.090000,87.260000,10.000000,5.800000,48.370000,30.280000,0.000000,9.490000,39.660000,262.650000,30.960000,48.370000,4.840000,16.070000,193.480000,0.000000,15.930000,14.510000,0.000000,46.440000,19.350000,0.000000,0,0,0,0,30,10,0,6.61,0,0,0,20,10,7.34,20,0,0,0,0,0,0

5,01:00-01:15,8.180000,0.000000,0.000000,0.000000,273.530000,11.840000,19.350000,48.370000,6.770000,85.320000,0.000000,71.760000,29.090000,63.070000,10.000000,5.800000,48.370000,29.260000,0.000000,9.490000,39.660000,214.280000,30.960000,48.370000,4.840000,15.880000,0.000000,0.000000,19.570000,14.510000,0.000000,46.440000,19.350000,0.000000,0,0,0,0,30,10,0,6.61,0,0,0,20,10,7.34,20,0,0,0,0,0,0

6,01:15-01:30,8.180000,0.000000,0.000000,0.000000,273.530000,11.840000,19.350000,48.370000,6.770000,70.520000,0.000000,53.210000,29.090000,57.750000,10.000000,5.800000,48.370000,29.260000,0.000000,9.490000,39.660000,202.050000,30.960000,48.370000,4.840000,15.880000,0.000000,0.000000,29.830000,14.510000,0.000000,46.440000,19.350000,0.000000,0,0,0,0,30,10,0,6.61,0,0,0,20,10,7.34,20,0,0,0,0,0,0

7,01:30-01:45,8.180000,0.000000,0.000000,0.000000,273.530000,11.840000,19.350000,48.370000,6.770000,70.520000,0.000000,53.210000,29.090000,57.750000,10.000000,5.800000,48.370000,29.260000,0.000000,9.490000,39.660000,202.050000,20.770000,48.370000,4.840000,15.880000,0.000000,0.000000,20.770000,14.510000,0.000000,46.440000,19.350000,0.000000,0,0,0,0,30,10,0,6.61,0,0,0,20,10,7.34,20,0,0,0,0,0,0

