Block,Time,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/2-R1,NR/01052024/31052024/DC20240501NR23728,NR/01102023/23072042/L_NR_2012_04,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/DC20240501NR23735,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/DC20240501NR23726,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01052024/31052024/IEX_240416_00120_1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/16042024/31052024/IEX_240323_06618,NR/01102023/19072037/LT-05,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/MC120240501NR23436,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/DC20240501NR23727,NR/30092023/26122029/SH-06,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01052024/31052024/IEX-240323-06617_1,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,0.000000,48.260000,6.760000,0.000000,272.940000,57.920000,39.580000,14.440000,0.000000,31.300000,4.830000,10.480000,0.000000,30.890000,46.330000,15.340000,87.070000,100.560000,0.000000,48.260000,115.400000,48.260000,14.480000,19.350000,5.790000,30.890000,19.310000,10.560000,262.080000,0.000000,19.310000,0,0,0,0,82.5,27.5,0,25.01,0,0,27.5,0,61.67,61.67,0,0,0,0,0,0,24.34

2,00:15-00:30,0.000000,48.260000,6.760000,0.000000,272.940000,57.920000,39.580000,14.440000,0.000000,31.300000,4.830000,10.480000,0.000000,30.890000,46.330000,15.340000,87.070000,100.560000,0.000000,48.260000,115.400000,48.260000,14.480000,19.350000,5.790000,30.890000,19.310000,10.560000,262.080000,0.000000,19.310000,0,0,0,0,84,28,0,24.41,0,0,28,0,63,63,0,0,0,0,0,0,25

3,00:30-00:45,0.000000,48.260000,6.760000,0.000000,272.940000,57.920000,39.580000,14.440000,0.000000,31.300000,4.830000,10.480000,0.000000,30.890000,46.330000,15.340000,87.070000,100.560000,0.000000,48.260000,115.400000,48.260000,14.480000,19.350000,5.790000,30.890000,19.310000,10.560000,262.080000,0.000000,19.310000,0,0,0,0,86,28.67,0,23.81,0,0,28.66,0,64.33,64.33,0,0,0,0,0,0,25.66

4,00:45-01:00,0.000000,48.260000,6.760000,0.000000,272.940000,57.920000,39.580000,14.440000,0.000000,31.300000,4.830000,10.480000,0.000000,30.890000,46.330000,15.340000,87.070000,100.560000,0.000000,48.260000,115.400000,48.260000,14.480000,19.350000,5.790000,30.890000,19.310000,10.560000,262.080000,0.000000,19.310000,0,0,0,0,91.5,30.5,0,23.41,0,0,30.5,0,65.67,65.67,0,0,0,0,0,0,26.66

5,01:00-01:15,0.000000,48.260000,6.760000,0.000000,272.940000,57.920000,39.580000,14.440000,0.000000,31.300000,4.830000,10.410000,0.000000,30.890000,46.330000,15.340000,87.070000,100.560000,0.000000,48.260000,115.400000,48.260000,14.480000,19.170000,5.790000,30.890000,19.310000,10.560000,262.080000,0.000000,19.310000,0,0,0,0,92.5,30.83,0,30.02,0,0,30.84,0,67,67,0,0,0,0,0,0,27.66

6,01:15-01:30,0.000000,48.260000,6.760000,0.000000,272.940000,57.920000,39.580000,14.440000,0.000000,31.300000,4.830000,10.410000,0.000000,30.890000,46.330000,15.340000,87.070000,100.560000,0.000000,48.260000,115.400000,48.260000,14.480000,19.170000,5.790000,30.890000,19.310000,10.560000,262.080000,0.000000,19.310000,0,0,0,0,80,26.67,0,30.02,0,0,26.66,0,68.33,68.33,0,0,0,0,0,0,21
