Block,Time,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/23072042/L_NR_2012_04,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/DC20240501NR23735,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/DC20240501NR23728,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/2-R1,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/MC120240501NR23436,NR/01102023/06022042/L_NR_2012_02,NR/01052024/31052024/DC20240501NR23726,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/31052040/LT-31,NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01052024/31052024/M20240501NR23406,NR/01102023/19072037/LT-05,NR/01052024/31052024/DC20240501NR23727,NR/01102023/30042040/GNA_LT_35,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,0.000000,30.960000,19.350000,0.000000,16.140000,58.040000,0.000000,87.260000,6.770000,48.370000,48.370000,46.440000,30.280000,6.460000,0.000000,48.370000,29.090000,100.780000,273.530000,6.510000,14.510000,262.650000,4.840000,14.220000,0.000000,19.350000,0.000000,5.990000,24.180000,115.650000,5.800000,0.000000,27.33,82,0,0,0,0,0,0,0,0,0,15,0,26,0,60,0,60,27.34

2,00:15-00:30,0.000000,30.960000,19.350000,0.000000,16.140000,58.040000,0.000000,87.260000,6.770000,48.370000,48.370000,46.440000,30.280000,6.460000,0.000000,48.370000,29.090000,100.780000,273.530000,6.510000,14.510000,262.650000,4.840000,14.220000,0.000000,19.350000,0.000000,5.990000,24.180000,115.650000,5.800000,0.000000,27,81,0,0,0,0,0,0,0,0,0,14.8,0,25.66,0,60.33,0,60.33,27

3,00:30-00:45,0.000000,15.450000,19.350000,0.000000,16.140000,58.040000,0.000000,87.260000,6.770000,48.370000,48.370000,46.440000,30.280000,6.460000,0.000000,48.370000,29.090000,100.780000,273.530000,6.510000,14.510000,262.650000,4.840000,14.220000,0.000000,19.350000,0.000000,5.990000,24.180000,115.650000,5.800000,0.000000,26.83,80.5,0,0,0,0,0,0,0,0,0,14.4,0,25.34,0,60.33,0,60.33,26.84

4,00:45-01:00,0.000000,15.450000,19.350000,0.000000,16.140000,58.040000,0.000000,87.260000,6.770000,48.370000,48.370000,46.440000,30.280000,6.460000,0.000000,48.370000,29.090000,100.780000,273.530000,6.510000,14.510000,262.650000,4.840000,14.220000,0.000000,19.350000,0.000000,5.990000,24.180000,115.650000,5.800000,0.000000,23.33,70,0,0,0,0,0,0,0,0,0,14.2,0,25,0,60.67,0,60.67,23.34

5,01:00-01:15,0.000000,15.450000,19.350000,0.000000,16.140000,58.040000,0.000000,87.260000,6.770000,48.370000,48.370000,46.440000,30.280000,6.380000,0.000000,48.370000,29.090000,100.780000,273.530000,6.510000,14.510000,262.650000,4.840000,14.130000,0.000000,19.350000,0.000000,5.990000,24.180000,115.650000,5.800000,0.000000,23.5,70.5,0,0,0,0,0,0,0,0,0,13.8,0,25,0,60.33,0,60.33,23.5

