Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,169.89,57.92,0.00,11.58,-74.00,0.00,-66.00
00:15 - 00:30,102.32,43.44,0.00,11.58,-74.00,0.00,21.24
00:30 - 00:45,24.13,57.92,0.00,11.58,-66.00,0.00,12.55
00:45 - 01:00,67.56,48.27,0.00,10.62,-64.00,0.00,50.20
01:00 - 01:15,-27.00,17.38,0.00,10.62,-65.00,0.00,11.58
01:15 - 01:30,-58.00,9.65,0.00,9.65,-66.00,0.00,22.21
01:30 - 01:45,-44.00,8.69,0.00,8.69,-69.00,0.00,39.57
01:45 - 02:00,-31.00,15.44,0.00,8.69,-69.00,0.00,47.30
02:00 - 02:15,55.98,38.61,0.00,8.69,-48.00,0.00,48.27
02:15 - 02:30,25.10,37.65,0.00,8.69,-48.00,0.00,27.99
02:30 - 02:45,0.00,24.13,0.00,8.40,-46.00,0.00,-21.00
02:45 - 03:00,0.00,27.03,0.00,8.40,-50.00,0.00,-24.00
03:00 - 03:15,0.00,0.00,0.00,8.01,-49.00,0.00,-22.00
03:15 - 03:30,0.00,0.00,0.00,7.72,-49.00,0.00,50.20
03:30 - 03:45,-29.00,0.00,0.00,7.72,-50.00,0.00,45.37
03:45 - 04:00,-29.00,0.00,0.00,7.72,-50.00,0.00,51.16
04:00 - 04:15,26.06,23.17,0.00,7.72,-50.00,0.00,55.02
04:15 - 04:30,26.06,24.13,0.00,7.72,-51.00,0.00,47.31
04:30 - 04:45,47.30,41.51,0.00,7.72,-50.00,0.00,54.06
04:45 - 05:00,47.30,39.58,0.00,7.72,-49.00,0.00,50.20
05:00 - 05:15,67.57,9.65,0.00,8.69,-68.00,0.00,69.50
05:15 - 05:30,61.78,4.83,0.00,9.65,-69.00,0.00,69.50
05:30 - 05:45,40.54,43.44,0.00,10.14,-70.00,0.00,45.37
05:45 - 06:00,35.72,38.61,0.00,10.62,-71.00,0.00,62.74
06:00 - 06:15,-20.00,53.09,0.00,11.58,-67.00,0.00,62.75
06:15 - 06:30,-39.00,33.78,0.00,12.36,-69.00,0.00,16.41
06:30 - 06:45,-26.00,-18.00,0.00,12.55,-67.00,0.00,29.92
06:45 - 07:00,-10.00,-18.00,0.00,13.03,-68.00,0.00,41.51
07:00 - 07:15,0.00,0.00,0.00,13.03,-65.00,0.00,80.12
07:15 - 07:30,12.55,0.00,0.00,13.32,-67.00,0.00,93.63
07:30 - 07:45,17.38,0.00,0.00,13.32,-75.00,0.00,91.70
07:45 - 08:00,27.03,0.00,0.00,13.51,-86.00,0.00,76.26
08:00 - 08:15,7.72,28.96,0.00,7.72,-83.00,0.00,83.98
08:15 - 08:30,24.13,28.96,0.00,8.21,-99.00,0.00,101.35
08:30 - 08:45,0.00,101.36,0.00,8.69,-83.00,0.00,89.77
08:45 - 09:00,19.31,96.53,0.00,9.46,-70.00,0.00,73.36
09:00 - 09:15,21.24,95.56,0.00,7.72,-111.00,0.00,57.92
09:15 - 09:30,32.82,106.18,0.00,8.21,-99.00,0.00,70.47
09:30 - 09:45,19.31,128.38,0.00,10.14,-87.00,0.00,83.98
09:45 - 10:00,0.00,127.42,0.00,10.62,-76.00,0.00,107.15
10:00 - 10:15,22.20,54.06,0.00,8.69,-53.00,0.00,166.03
10:15 - 10:30,7.72,109.08,0.00,9.65,-44.00,0.00,157.35
10:30 - 10:45,120.66,72.40,0.00,9.65,-38.00,0.00,183.41
10:45 - 11:00,129.35,82.05,0.00,9.65,-35.00,0.00,200.79
11:00 - 11:15,74.33,83.02,0.00,9.65,-30.00,0.00,178.58
11:15 - 11:30,66.61,76.26,0.00,9.65,-25.00,0.00,159.27
