Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-90.00,57.58,-1.50,9.89,0.00,-6.00
00:15 - 00:30,-43.00,93.10,-1.50,9.60,0.00,-2.00
00:30 - 00:45,0.00,47.99,-1.50,9.50,0.00,14.40
00:45 - 01:00,0.00,50.86,-1.50,9.41,0.00,10.56
01:00 - 01:15,10.56,20.15,-1.50,9.31,-8.00,0.00
01:15 - 01:30,10.56,21.11,-1.50,9.12,-8.00,0.00
01:30 - 01:45,-16.00,11.51,-1.50,8.93,-8.00,4.80
01:45 - 02:00,-54.00,-5.00,-1.50,8.93,-8.00,4.80
02:00 - 02:15,-29.00,32.63,-1.50,8.93,-12.00,-71.00
02:15 - 02:30,-28.00,-6.00,-1.50,8.93,-12.00,-61.00
02:30 - 02:45,-24.00,0.00,-1.50,8.93,-14.00,-12.00
02:45 - 03:00,2.88,11.52,-1.50,8.83,-14.00,-15.00
03:00 - 03:15,21.12,-6.00,-1.50,8.83,-15.00,-15.00
03:15 - 03:30,47.03,-5.00,-1.50,8.83,-15.00,-13.00
03:30 - 03:45,39.35,-43.00,-1.50,8.93,-15.00,-15.00
03:45 - 04:00,28.80,-45.00,-1.50,9.21,-16.00,-20.00
04:00 - 04:15,0.00,26.87,-1.50,9.60,-16.00,-5.00
04:15 - 04:30,0.00,28.79,-1.50,9.79,-16.00,-82.00
04:30 - 04:45,0.00,15.35,-1.50,10.56,-15.00,4.80
04:45 - 05:00,-46.00,6.72,-1.50,10.56,-17.00,4.80
05:00 - 05:15,0.00,0.00,0.00,0.00,0.00,0.00
05:15 - 05:30,0.00,0.00,0.00,0.00,0.00,0.00
05:30 - 05:45,0.00,0.00,0.00,0.00,0.00,0.00
05:45 - 06:00,0.00,0.00,0.00,0.00,0.00,0.00
06:00 - 06:15,0.00,0.00,0.00,0.00,0.00,0.00
06:15 - 06:30,0.00,0.00,0.00,0.00,0.00,0.00
06:30 - 06:45,0.00,0.00,0.00,0.00,0.00,0.00
06:45 - 07:00,0.00,0.00,0.00,0.00,0.00,0.00
07:00 - 07:15,0.00,0.00,0.00,0.00,0.00,0.00
07:15 - 07:30,0.00,0.00,0.00,0.00,0.00,0.00
07:30 - 07:45,0.00,0.00,0.00,0.00,0.00,0.00
07:45 - 08:00,0.00,0.00,0.00,0.00,0.00,0.00
08:00 - 08:15,0.00,0.00,0.00,0.00,0.00,0.00
08:15 - 08:30,0.00,0.00,0.00,0.00,0.00,0.00
08:30 - 08:45,0.00,0.00,0.00,0.00,0.00,0.00
08:45 - 09:00,0.00,0.00,0.00,0.00,0.00,0.00
09:00 - 09:15,0.00,0.00,0.00,0.00,0.00,0.00
09:15 - 09:30,0.00,0.00,0.00,0.00,0.00,0.00
09:30 - 09:45,0.00,0.00,0.00,0.00,0.00,0.00
09:45 - 10:00,0.00,0.00,0.00,0.00,0.00,0.00
10:00 - 10:15,0.00,0.00,0.00,0.00,0.00,0.00
10:15 - 10:30,0.00,0.00,0.00,0.00,0.00,0.00
10:30 - 10:45,0.00,0.00,0.00,0.00,0.00,0.00
10:45 - 11:00,0.00,0.00,0.00,0.00,0.00,0.00
11:00 - 11:15,0.00,0.00,0.00,0.00,0.00,0.00
11:15 - 11:30,0.00,0.00,0.00,0.00,0.00,0.00
11:30 - 11:45,0.00,0.00,0.00,0.00,0.00,0.00
11:45 - 12:00,0.00,0.00,0.00,0.00,0.00,0.00
12:00 - 12:15,0.00,0.00,0.00,0.00,0.00,0.00
12:15 - 12:30,0.00,0.00,0.00,0.00,0.00,0.00
12:30 - 12:45,0.00,0.00,0.00,0.00,0.00,0.00
12:45 - 13:00,0.00,0.00,0.00,0.00,0.00,0.00
13:00 - 13:15,0.00,0.00,0.00,0.00,0.00,0.00
13:15 - 13:30,0.00,0.00,0.00,0.00,0.00,0.00
13:30 - 13:45,0.00,0.00,0.00,0.00,0.00,0.00
13:45 - 14:00,0.00,0.00,0.00,0.00,0.00,0.00
14:00 - 14:15,0.00,0.00,0.00,0.00,0.00,0.00
14:15 - 14:30,0.00,0.00,0.00,0.00,0.00,0.00
14:30 - 14:45,0.00,0.00,0.00,0.00,0.00,0.00
14:45 - 15:00,0.00,0.00,0.00,0.00,0.00,0.00
15:00 - 15:15,0.00,0.00,0.00,0.00,0.00,0.00
15:15 - 15:30,0.00,0.00,0.00,0.00,0.00,0.00
15:30 - 15:45,0.00,0.00,0.00,0.00,0.00,0.00
15:45 - 16:00,0.00,0.00,0.00,0.00,0.00,0.00
16:00 - 16:15,0.00,0.00,0.00,0.00,0.00,0.00
16:15 - 16:30,0.00,0.00,0.00,0.00,0.00,0.00
16:30 - 16:45,0.00,0.00,0.00,0.00,0.00,0.00
16:45 - 17:00,0.00,0.00,0.00,0.00,0.00,0.00
17:00 - 17:15,0.00,0.00,0.00,0.00,0.00,0.00
17:15 - 17:30,0.00,0.00,0.00,0.00,0.00,0.00
17:30 - 17:45,0.00,0.00,0.00,0.00,0.00,0.00
17:45 - 18:00,0.00,0.00,0.00,0.00,0.00,0.00
18:00 - 18:15,0.00,0.00,0.00,0.00,0.00,0.00
18:15 - 18:30,0.00,0.00,0.00,0.00,0.00,0.00
18:30 - 18:45,0.00,0.00,0.00,0.00,0.00,0.00
18:45 - 19:00,0.00,0.00,0.00,0.00,0.00,0.00
19:00 - 19:15,0.00,0.00,0.00,0.00,0.00,0.00
19:15 - 19:30,0.00,0.00,0.00,0.00,0.00,0.00
19:30 - 19:45,0.00,0.00,0.00,0.00,0.00,0.00
19:45 - 20:00,0.00,0.00,0.00,0.00,0.00,0.00
20:00 - 20:15,0.00,0.00,0.00,0.00,0.00,0.00
20:15 - 20:30,0.00,0.00,0.00,0.00,0.00,0.00
20:30 - 20:45,0.00,0.00,0.00,0.00,0.00,0.00
20:45 - 21:00,0.00,0.00,0.00,0.00,0.00,0.00
21:00 - 21:15,0.00,0.00,0.00,0.00,0.00,0.00
21:15 - 21:30,0.00,0.00,0.00,0.00,0.00,0.00
21:30 - 21:45,0.00,0.00,0.00,0.00,0.00,0.00
21:45 - 22:00,0.00,0.00,0.00,0.00,0.00,0.00
22:00 - 22:15,0.00,0.00,0.00,0.00,0.00,0.00
22:15 - 22:30,0.00,0.00,0.00,0.00,0.00,0.00
22:30 - 22:45,0.00,0.00,0.00,0.00,0.00,0.00
22:45 - 23:00,0.00,0.00,0.00,0.00,0.00,0.00
23:00 - 23:15,0.00,0.00,0.00,0.00,0.00,0.00
23:15 - 23:30,0.00,0.00,0.00,0.00,0.00,0.00
23:30 - 23:45,0.00,0.00,0.00,0.00,0.00,0.00
23:45 - 24:00,0.00,0.00,0.00,0.00,0.00,0.00
