Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
19:30 - 19:45,163.12,51.82,-0.80,8.64,11.52
19:45 - 20:00,167.93,48.94,-0.80,8.16,21.11
20:00 - 20:15,180.41,87.32,-0.80,7.68,19.19
20:15 - 20:30,197.67,80.61,-0.80,7.68,38.38
20:30 - 20:45,212.07,71.97,-0.80,7.20,47.98
20:45 - 21:00,215.90,68.13,-0.80,6.72,57.58
21:00 - 21:15,362.72,52.78,-0.80,6.24,49.90
21:15 - 21:30,369.44,56.62,-0.80,5.28,49.90
21:30 - 21:45,354.09,48.94,-0.80,4.99,30.71
21:45 - 22:00,359.85,45.10,-0.80,4.03,33.59
22:00 - 22:15,356.01,120.91,-1.50,3.36,46.06
22:15 - 22:30,335.87,109.39,-1.50,3.17,38.38
22:30 - 22:45,0.00,0.00,0.00,0.00,0.00
22:45 - 23:00,0.00,0.00,0.00,0.00,0.00
23:00 - 23:15,0.00,0.00,0.00,0.00,0.00
23:15 - 23:30,0.00,0.00,0.00,0.00,0.00
23:30 - 23:45,0.00,0.00,0.00,0.00,0.00
23:45 - 24:00,0.00,0.00,0.00,0.00,0.00
