Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,196.11,61.82,0.00,13.52,-133.00,0.00,93.70
00:15 - 00:30,184.51,60.86,0.00,13.52,-135.00,0.00,91.77
00:30 - 00:45,132.34,57.96,0.00,13.52,-53.00,-30.00,68.59
00:45 - 01:00,31.88,28.98,0.00,13.52,-53.00,0.00,100.47
01:00 - 01:15,-43.00,0.00,-0.50,12.56,-53.00,0.00,97.56
01:15 - 01:30,-49.00,0.00,-0.50,12.56,-53.00,0.00,97.56
01:30 - 01:45,-88.00,0.00,-0.50,12.56,-53.00,0.00,108.19
01:45 - 02:00,-88.00,0.00,-0.50,11.59,-53.00,0.00,25.12
02:00 - 02:15,-56.00,0.00,-0.50,19.32,-9.00,0.00,48.30
02:15 - 02:30,-14.00,0.00,-0.50,19.32,-9.00,0.00,49.27
02:30 - 02:45,36.71,-27.00,-0.50,19.32,-9.00,0.00,17.39
02:45 - 03:00,45.40,-39.00,-0.50,19.32,-9.00,0.00,17.39
03:00 - 03:15,12.56,36.71,-0.50,19.32,-9.00,0.00,-1.00
03:15 - 03:30,-7.00,0.00,-0.50,19.32,-9.00,0.00,-2.00
03:30 - 03:45,-14.00,-41.00,-0.50,19.32,-9.00,0.00,51.20
03:45 - 04:00,-37.00,-43.00,-0.50,19.32,-10.00,0.00,11.59
04:00 - 04:15,77.28,0.00,-0.50,18.35,-10.00,0.00,58.93
04:15 - 04:30,53.13,0.00,-0.50,18.35,-10.00,0.00,15.46
04:30 - 04:45,-45.00,0.00,-0.50,18.35,-10.00,0.00,58.93
04:45 - 05:00,-53.00,0.00,-0.50,18.36,-10.00,0.00,11.59
05:00 - 05:15,-52.00,59.89,-0.50,19.71,-10.00,0.00,61.82
05:15 - 05:30,-46.00,67.62,-0.50,19.71,-11.00,0.00,24.15
05:30 - 05:45,-28.00,21.25,-0.50,19.71,-11.00,0.00,41.54
05:45 - 06:00,-37.00,0.00,-0.50,19.71,-11.00,0.00,48.30
06:00 - 06:15,-9.00,0.00,-0.50,19.71,-10.00,0.00,39.60
06:15 - 06:30,18.35,0.00,-0.50,19.71,-10.00,0.00,22.22
06:30 - 06:45,-20.00,-48.00,-0.50,19.71,-10.00,0.00,1.93
06:45 - 07:00,0.00,-42.00,-0.50,19.71,-10.00,0.00,-19.00
07:00 - 07:15,-84.00,76.32,-0.50,20.67,-10.00,0.00,-63.00
07:15 - 07:30,-68.00,-32.00,-0.50,20.87,-10.00,0.00,-64.00
07:30 - 07:45,-106.00,-77.00,-0.50,21.54,-10.00,0.00,-39.00
07:45 - 08:00,-109.00,-36.00,-0.50,22.22,-10.00,0.00,-35.00
08:00 - 08:15,-337.00,-48.00,-0.50,13.52,-79.00,0.00,-116.00
08:15 - 08:30,-352.00,-64.00,-0.50,13.52,-78.00,0.00,-145.00
08:30 - 08:45,-375.00,-69.00,-0.50,14.49,-70.00,0.00,-168.00
08:45 - 09:00,-382.00,-73.00,-0.50,15.46,-64.00,0.00,-192.00
09:00 - 09:15,-367.00,-72.00,-0.50,9.66,-113.00,0.00,-217.00
09:15 - 09:30,-350.00,-56.00,-0.50,9.66,-108.00,0.00,-185.00
09:30 - 09:45,-382.00,-48.00,-0.50,10.63,-101.00,0.00,-173.00
09:45 - 10:00,-354.00,-35.00,-0.50,10.63,-95.00,0.00,-142.00
10:00 - 10:15,-301.00,-28.00,-0.50,9.66,-91.00,0.00,-118.00
10:15 - 10:30,-282.00,-17.00,-0.50,9.66,-87.00,0.00,-104.00
10:30 - 10:45,-263.00,-15.00,-0.50,9.66,-83.00,0.00,-79.00
10:45 - 11:00,-243.00,-5.00,-0.50,10.63,-78.00,0.00,-66.00
11:00 - 11:15,-213.00,0.00,-0.50,9.66,-73.00,0.00,-63.00
11:15 - 11:30,-194.00,0.00,-0.50,10.63,-69.00,0.00,-55.00
11:30 - 11:45,-88.00,0.00,-0.50,11.11,-64.00,0.00,-35.00
11:45 - 12:00,27.05,0.00,-0.50,11.11,-63.00,0.00,-27.00
12:00 - 12:15,-122.00,53.13,-0.50,12.08,-60.00,0.00,-5.00
12:15 - 12:30,-110.00,62.79,-0.50,12.08,-58.00,0.00,-10.00
12:30 - 12:45,-129.00,35.74,-0.50,12.08,-56.00,0.00,24.15
12:45 - 13:00,-102.00,36.70,-0.50,12.08,-56.00,0.00,28.98
13:00 - 13:15,-147.00,38.64,-0.50,12.08,-54.00,0.00,24.15
13:15 - 13:30,-177.00,38.64,-0.50,12.08,-55.00,0.00,14.49
13:30 - 13:45,-64.00,86.94,-0.50,12.08,-53.00,0.00,48.30
13:45 - 14:00,-46.00,113.98,-0.50,12.08,-13.00,0.00,77.28
14:00 - 14:15,-21.00,216.39,-0.50,13.52,-10.00,0.00,67.62
14:15 - 14:30,23.18,219.29,-0.50,13.52,0.00,0.00,67.62
14:30 - 14:45,48.30,223.15,-0.50,14.49,0.00,0.00,82.11
14:45 - 15:00,62.79,230.87,-0.50,14.49,0.00,0.00,82.11
15:00 - 15:15,122.68,253.09,-0.50,15.46,0.00,0.00,102.40
15:15 - 15:30,156.49,256.95,-0.50,15.46,0.00,0.00,104.33
15:30 - 15:45,98.53,261.79,-0.50,15.46,0.00,0.00,119.78
15:45 - 16:00,115.92,266.61,-0.50,16.42,0.00,0.00,121.72
16:00 - 16:15,184.51,234.73,-0.50,17.39,0.00,0.00,111.09
16:15 - 16:30,200.93,236.67,-0.50,17.39,0.00,0.00,77.28
16:30 - 16:45,190.31,175.81,-0.50,18.35,0.00,0.00,77.28
16:45 - 17:00,187.41,167.12,-0.50,18.35,0.00,0.00,61.82
17:00 - 17:15,147.80,154.56,-0.50,23.18,0.00,0.00,77.28
17:15 - 17:30,153.59,154.57,-0.50,23.18,0.00,0.00,67.62
17:30 - 17:45,120.75,127.51,-0.50,22.22,0.00,0.00,38.64
17:45 - 18:00,100.46,135.24,-0.50,22.22,0.00,0.00,72.45
18:00 - 18:15,5.80,184.51,0.00,21.25,0.00,0.00,45.40
18:15 - 18:30,0.00,181.61,-0.50,21.25,0.00,0.00,44.44
18:30 - 18:45,0.00,127.50,-0.50,20.29,0.00,0.00,29.95
18:45 - 19:00,0.00,131.37,-0.50,20.29,0.00,0.00,34.78
19:00 - 19:15,0.00,72.45,-0.50,20.29,0.00,0.00,-58.00
19:15 - 19:30,15.46,131.37,-0.50,20.29,0.00,0.00,-82.00
19:30 - 19:45,52.16,83.08,-0.50,20.29,0.00,0.00,-90.00
19:45 - 20:00,51.20,83.07,-0.50,20.29,0.00,0.00,-89.99
20:00 - 20:15,71.48,93.70,-0.50,20.29,0.00,0.00,-100.00
20:15 - 20:30,79.21,86.94,-0.50,20.29,0.00,0.00,-100.00
20:30 - 20:45,34.78,90.80,-0.50,20.29,0.00,0.00,-110.00
20:45 - 21:00,33.81,96.60,-0.50,20.29,0.00,0.00,-110.00
21:00 - 21:15,40.57,102.40,-0.50,19.32,0.00,0.00,-8.00
21:15 - 21:30,56.99,128.48,-0.50,19.32,0.00,0.00,-22.00
21:30 - 21:45,96.60,109.16,-0.50,19.32,0.00,0.00,9.66
21:45 - 22:00,140.07,103.36,-0.50,19.32,0.00,0.00,-40.00
22:00 - 22:15,204.79,116.89,-0.50,13.52,0.00,0.00,19.32
22:15 - 22:30,264.68,121.72,-0.50,13.52,0.00,0.00,24.15
22:30 - 22:45,327.48,125.58,-0.50,13.52,0.00,0.00,-40.00
22:45 - 23:00,363.22,123.65,-0.50,13.52,0.00,0.00,-19.00
23:00 - 23:15,321.68,148.76,-0.50,12.56,0.00,0.00,-30.00
23:15 - 23:30,330.37,150.70,-0.50,12.56,0.00,0.00,-28.00
23:30 - 23:45,322.65,142.00,-0.50,11.59,0.00,0.00,-45.00
23:45 - 24:00,298.49,136.21,-0.50,11.59,0.00,0.00,-70.00
