Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,74.86,109.42,-1.50,10.46,-10.00,0.00,14.40
00:15 - 00:30,54.71,111.34,-1.50,10.17,-10.00,0.00,14.40
00:30 - 00:45,35.51,24.95,-1.50,10.08,-10.00,0.00,19.20
00:45 - 01:00,24.00,27.82,-1.50,9.89,-10.00,0.00,19.20
01:00 - 01:15,9.60,32.63,-1.50,9.79,-22.00,0.00,14.40
01:15 - 01:30,32.63,24.95,-1.50,9.60,-22.00,0.00,9.60
01:30 - 01:45,0.00,31.67,-1.50,9.50,-23.00,0.00,14.40
01:45 - 02:00,0.00,27.83,-1.50,9.50,-24.00,0.00,14.40
02:00 - 02:15,-16.00,0.00,-1.50,9.50,-27.00,0.00,9.60
02:15 - 02:30,-40.00,0.00,-1.50,9.50,-27.00,0.00,-40.00
02:30 - 02:45,-64.00,0.00,-1.50,9.50,-28.00,0.00,-15.00
02:45 - 03:00,-63.00,0.00,-1.50,9.50,-28.00,0.00,9.60
03:00 - 03:15,-71.00,0.00,-1.50,9.50,-29.00,0.00,4.80
03:15 - 03:30,-71.00,0.00,-1.50,9.50,-29.00,0.00,0.00
03:30 - 03:45,-58.00,45.11,-1.50,9.60,-30.00,0.00,0.00
03:45 - 04:00,-59.00,39.35,-1.50,9.60,-29.00,0.00,-55.00
04:00 - 04:15,-5.00,70.06,-1.50,9.60,-29.00,0.00,-105.00
04:15 - 04:30,-6.00,36.48,-1.50,9.79,-28.00,0.00,33.59
04:30 - 04:45,-7.00,68.14,-1.50,10.56,-25.00,0.00,19.20
04:45 - 05:00,0.00,77.74,-1.50,11.52,-24.00,0.00,19.20
05:00 - 05:15,24.00,68.13,-1.50,12.48,-21.00,0.10,19.20
05:15 - 05:30,41.27,68.14,-1.50,15.07,-20.00,0.10,24.00
05:30 - 05:45,46.07,5.76,-1.50,16.22,-18.00,0.00,19.20
05:45 - 06:00,46.07,-9.00,-1.50,18.24,0.00,0.00,4.80
06:00 - 06:15,-90.00,60.47,-1.50,20.73,0.00,0.00,4.80
06:15 - 06:30,-82.00,46.71,-1.50,16.97,0.00,0.00,3.90
06:30 - 06:45,-100.00,33.74,-1.50,13.97,0.00,0.00,2.91
06:45 - 07:00,-69.00,30.75,-1.50,12.34,0.00,0.00,4.59
07:00 - 07:15,-34.00,39.91,-1.50,16.82,0.00,0.00,18.14
07:15 - 07:30,-19.00,-11.00,-1.50,22.13,0.00,0.00,23.81
07:30 - 07:45,-68.00,-45.00,-1.50,27.55,0.00,0.00,-40.00
07:45 - 08:00,-89.00,-110.99,-1.50,27.16,0.00,0.00,19.20
08:00 - 08:15,-124.00,-7.00,-1.50,25.53,0.00,0.00,-40.00
08:15 - 08:30,-47.00,-47.00,-1.50,24.76,0.00,0.00,-60.00
08:30 - 08:45,-46.00,-28.00,-1.50,24.47,0.00,0.00,-55.00
08:45 - 09:00,-40.00,-37.00,-1.50,23.32,0.00,0.00,-60.00
09:00 - 09:15,-22.00,25.91,-1.50,22.94,-12.00,0.00,-35.00
09:15 - 09:30,-27.00,32.63,-1.50,22.46,-7.00,0.00,-10.00
09:30 - 09:45,-28.00,33.59,-1.50,21.69,-8.00,0.00,14.40
09:45 - 10:00,39.36,10.56,-1.50,21.40,-9.00,0.00,28.79
10:00 - 10:15,49.91,10.56,-1.00,20.83,-8.00,0.00,33.59
10:15 - 10:30,40.31,10.56,-1.00,20.25,-9.00,0.00,19.20
10:30 - 10:45,10.56,22.08,-1.00,19.96,-9.00,0.00,23.99
10:45 - 11:00,-7.00,17.28,-1.00,19.67,-9.00,0.00,16.32
11:00 - 11:15,63.35,28.79,-1.00,19.20,-8.00,0.00,33.59
11:15 - 11:30,77.74,24.95,-1.00,18.72,-7.00,0.00,24.00
11:30 - 11:45,45.11,25.91,-1.00,17.28,-7.00,0.00,47.99
11:45 - 12:00,32.63,25.91,-1.00,17.28,-9.00,0.00,33.60
12:00 - 12:15,16.32,76.77,-1.00,16.32,-9.00,0.00,71.99
12:15 - 12:30,5.76,119.01,-1.00,16.32,-9.00,0.00,76.78
12:30 - 12:45,24.00,132.44,-1.00,15.36,-9.00,0.00,100.78
12:45 - 13:00,7.68,134.37,-1.00,15.36,-10.00,0.00,100.78
13:00 - 13:15,24.00,95.97,-1.00,15.36,-10.00,0.00,54.71
13:15 - 13:30,6.72,98.86,-1.00,15.36,-13.00,0.00,47.03
13:30 - 13:45,10.56,86.38,-1.00,14.40,-14.00,0.00,43.19
13:45 - 14:00,12.48,82.54,-1.00,14.40,-14.00,0.00,57.59
14:00 - 14:15,11.52,81.58,-1.00,13.44,-15.00,0.00,80.62
14:15 - 14:30,12.48,83.50,-1.00,13.44,-14.00,0.00,97.90
14:30 - 14:45,12.48,53.75,-1.00,13.44,-12.00,0.00,64.30
14:45 - 15:00,13.44,37.43,-1.00,11.52,-11.00,0.00,36.47
15:00 - 15:15,25.91,55.67,-1.00,11.52,-10.00,0.00,19.20
15:15 - 15:30,49.91,60.46,-1.00,12.48,-9.00,0.00,19.20
15:30 - 15:45,89.26,70.07,-1.00,15.36,-10.00,0.00,26.87
15:45 - 16:00,86.38,87.34,-1.00,15.36,-11.00,0.00,31.67
16:00 - 16:15,38.39,70.06,-1.00,15.36,-12.00,0.00,62.39
16:15 - 16:30,62.38,61.43,-1.00,15.36,-13.00,0.00,62.39
16:30 - 16:45,78.70,35.51,-1.00,15.36,-14.00,0.00,-5.00
16:45 - 17:00,61.42,0.00,-1.00,15.36,-15.00,0.00,-41.00
17:00 - 17:15,9.60,-7.00,-1.00,16.31,0.00,0.00,-13.00
17:15 - 17:30,-36.00,-22.00,-1.00,17.28,0.00,0.00,-23.00
17:30 - 17:45,7.68,-27.00,-1.00,17.27,0.00,0.00,-24.00
17:45 - 18:00,25.91,-26.00,-1.00,17.28,0.00,0.00,-32.00
18:00 - 18:15,26.87,30.71,-1.00,17.28,0.00,0.00,-17.00
18:15 - 18:30,40.31,109.42,-1.00,17.28,0.00,0.00,33.59
18:30 - 18:45,81.58,28.79,-1.00,17.28,-6.00,0.00,21.12
18:45 - 19:00,66.06,19.62,-1.00,13.08,-6.00,0.46,17.66
19:00 - 19:15,55.04,10.62,-1.00,4.72,-9.00,0.26,16.54
19:15 - 19:30,49.85,7.95,-1.00,3.97,-13.00,0.00,19.86
19:30 - 19:45,36.52,8.24,-1.00,4.76,-17.00,0.84,11.78
19:45 - 20:00,31.01,12.06,-1.00,6.89,-20.00,1.21,17.23
20:00 - 20:15,54.64,28.26,-1.00,18.47,-24.00,4.62,42.39
20:15 - 20:30,0.00,0.00,-1.00,18.62,-28.00,0.67,47.99
20:30 - 20:45,18.24,70.06,-1.00,18.24,-31.00,0.00,45.11
20:45 - 21:00,6.72,69.11,-1.00,17.56,-34.00,0.00,47.03
21:00 - 21:15,50.87,116.13,-1.00,17.28,-37.00,0.00,43.19
21:15 - 21:30,59.51,113.25,-1.00,16.80,-40.00,0.00,45.11
21:30 - 21:45,48.95,96.94,-1.00,16.03,-43.00,0.00,52.79
21:45 - 22:00,55.67,98.86,-1.00,15.64,-45.00,0.00,53.75
