Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
11:30 - 11:45,106.71,43.65,0.68,-0.50,10.19,0.29,-70.00
11:45 - 12:00,107.69,36.86,0.68,-0.50,10.67,0.29,-70.00
12:00 - 12:15,166.86,44.62,0.68,0.00,8.73,0.29,-25.00
12:15 - 12:30,172.68,46.56,0.68,0.00,9.22,0.29,-25.00
12:30 - 12:45,168.80,78.58,0.68,-6.00,11.64,0.29,14.55
12:45 - 13:00,163.94,65.00,0.68,-6.00,9.22,0.29,19.40
13:00 - 13:15,151.33,64.03,0.68,0.00,9.22,0.29,67.91
13:15 - 13:30,157.15,47.53,0.68,0.00,10.19,0.29,67.91
13:30 - 13:45,175.59,19.40,0.68,0.00,9.70,0.29,77.61
13:45 - 14:00,176.56,24.25,0.68,-2.32,11.93,0.29,77.61
14:00 - 14:15,192.08,0.00,0.68,-0.50,8.73,0.29,67.91
14:15 - 14:30,184.32,20.37,0.68,-0.50,13.58,0.29,53.36
14:30 - 14:45,87.30,50.45,0.68,-0.50,10.67,0.29,48.51
14:45 - 15:00,97.00,60.15,0.68,-0.50,7.28,0.29,48.51
15:00 - 15:15,113.50,13.58,0.68,-0.50,7.28,0.29,63.06
15:15 - 15:30,121.26,-33.00,0.68,-0.50,7.76,0.29,63.06
15:30 - 15:45,157.15,-10.00,0.68,-0.50,8.73,0.29,72.76
15:45 - 16:00,155.21,26.19,0.68,-0.50,8.73,0.29,48.51
16:00 - 16:15,115.45,20.37,0.68,-0.50,8.73,0.29,43.65
16:15 - 16:30,87.31,-19.00,0.68,-0.50,11.64,0.29,43.65
16:30 - 16:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:45 - 17:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00 - 17:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:15 - 17:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:30 - 17:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:45 - 18:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18:00 - 18:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18:15 - 18:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18:30 - 18:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18:45 - 19:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19:00 - 19:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19:15 - 19:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19:30 - 19:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19:45 - 20:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20:00 - 20:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20:15 - 20:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20:30 - 20:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20:45 - 21:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:00 - 21:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:15 - 21:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:30 - 21:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:45 - 22:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:00 - 22:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:15 - 22:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:30 - 22:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:45 - 23:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:00 - 23:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:15 - 23:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:30 - 23:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:45 - 24:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
