Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,44.46,-82.00,0.00,5.78,0.00,-23.60,80.03
00:15 - 00:30,50.78,3.78,0.00,7.02,0.00,-23.60,54.01
00:30 - 00:45,-20.00,-92.97,0.00,12.56,0.00,0.00,67.63
00:45 - 01:00,-28.00,-146.00,0.00,12.56,-50.00,0.00,67.63
01:00 - 01:15,-110.00,-46.00,0.00,11.59,-50.00,0.00,9.66
01:15 - 01:30,-118.00,-23.00,0.00,11.59,-50.00,0.00,-50.00
01:30 - 01:45,-84.00,22.23,0.00,8.69,-61.00,0.00,-97.00
01:45 - 02:00,-89.00,-28.00,0.00,8.69,-61.00,0.00,-56.00
02:00 - 02:15,-32.00,-43.00,0.00,7.73,-61.00,0.00,-70.00
02:15 - 02:30,-40.00,-31.00,0.00,7.73,-59.00,0.00,-80.00
02:30 - 02:45,-50.00,-15.00,0.00,7.25,-57.00,0.00,-95.00
02:45 - 03:00,-85.00,11.59,0.00,7.25,-58.00,0.00,-95.00
03:00 - 03:15,-92.00,42.51,0.00,6.76,-57.00,0.00,12.56
03:15 - 03:30,-123.00,58.93,0.00,6.76,-57.00,0.00,-13.00
03:30 - 03:45,0.00,100.47,0.00,7.25,-58.00,0.00,33.81
03:45 - 04:00,-23.00,101.43,0.00,7.25,-59.00,0.00,53.14
04:00 - 04:15,0.00,98.54,0.00,7.73,-58.00,0.00,48.31
04:15 - 04:30,-11.00,101.44,0.00,7.73,-57.00,0.00,50.24
04:30 - 04:45,-37.00,93.71,-0.50,7.73,-60.00,0.00,48.31
04:45 - 05:00,-53.00,96.60,-0.50,7.73,-59.00,0.00,48.31
05:00 - 05:15,-43.00,76.32,-0.50,8.21,-59.00,0.00,57.97
05:15 - 05:30,-65.00,91.78,-0.50,8.21,-57.00,0.00,62.80
05:30 - 05:45,-100.00,80.18,-0.50,7.73,-72.00,0.00,62.80
05:45 - 06:00,-96.00,63.76,-0.50,7.73,-66.00,0.00,62.80
06:00 - 06:15,-113.00,43.47,-0.50,8.69,-66.00,0.00,117.87
06:15 - 06:30,-103.00,22.22,-0.50,8.69,-61.00,0.00,101.45
06:30 - 06:45,-149.00,46.38,-0.50,8.69,-60.00,0.00,38.64
06:45 - 07:00,-138.00,83.08,-0.50,9.66,-59.00,0.00,62.80
07:00 - 07:15,-203.00,74.39,-0.50,9.66,-45.00,0.00,67.63
07:15 - 07:30,-195.00,70.52,-0.50,10.63,-48.00,0.00,67.63
07:30 - 07:45,-235.00,66.66,-0.50,11.11,-53.00,0.00,82.12
07:45 - 08:00,-236.00,0.00,-0.50,12.56,-58.00,0.00,86.95
08:00 - 08:15,-200.00,-9.00,-0.50,5.80,-56.00,0.00,91.78
08:15 - 08:30,-187.00,20.29,-0.50,6.76,-60.00,0.00,96.61
08:30 - 08:45,-178.00,-96.00,-0.50,7.73,-42.00,0.00,130.42
08:45 - 09:00,-158.00,-97.00,-0.50,9.66,-26.00,0.00,130.42
09:00 - 09:15,-38.00,-76.00,-0.50,7.73,-62.00,0.00,140.08
09:15 - 09:30,-10.00,-76.00,-0.50,8.69,-48.00,0.00,154.58
09:30 - 09:45,0.00,-44.00,-0.50,9.66,-58.00,0.00,173.90
09:45 - 10:00,12.56,-57.00,-0.50,9.66,-45.00,0.00,183.56
10:00 - 10:15,19.32,-82.00,-0.50,10.63,-34.00,0.00,149.74
10:15 - 10:30,24.15,-72.00,-0.50,10.63,-26.00,0.00,149.75
10:30 - 10:45,7.73,-60.00,-0.50,10.63,-37.00,0.00,154.57
10:45 - 11:00,23.19,-40.00,-0.50,10.63,-38.00,0.00,144.91
11:00 - 11:15,62.80,-11.00,-0.50,10.63,-45.00,0.00,169.06
11:15 - 11:30,54.10,6.76,-0.50,10.63,-35.00,0.00,183.56
11:30 - 11:45,116.90,38.64,-0.50,13.53,-21.00,0.00,183.56
11:45 - 12:00,114.00,56.03,-0.50,13.53,-20.00,0.00,178.73
12:00 - 12:15,101.44,59.90,-0.50,13.53,-20.00,0.00,164.23
12:15 - 12:30,109.17,61.83,-0.50,13.53,-16.00,0.00,140.08
12:30 - 12:45,101.44,88.88,-0.50,13.53,-11.00,0.00,140.08
12:45 - 13:00,110.14,96.61,-0.50,13.53,-9.00,0.00,135.24
13:00 - 13:15,-7.00,86.94,-0.50,12.56,-13.00,0.00,57.97
13:15 - 13:30,-42.00,90.81,-0.50,12.56,-9.00,0.00,57.97
13:30 - 13:45,36.71,57.97,-0.50,12.56,-12.00,0.00,14.49
13:45 - 14:00,82.12,69.56,-0.50,12.56,-11.00,0.00,82.12
14:00 - 14:15,116.90,65.69,-0.50,13.53,-11.00,0.00,-10.00
14:15 - 14:30,164.23,91.78,-0.50,13.53,-6.00,0.00,-20.00
14:30 - 14:45,74.39,27.05,-0.50,14.49,-4.00,0.00,-15.00
14:45 - 15:00,29.95,19.32,-0.50,14.49,-3.00,0.00,9.66
15:00 - 15:15,0.00,43.48,-0.50,17.39,-3.00,0.00,43.47
15:15 - 15:30,114.96,54.10,-0.50,17.39,-5.00,0.00,53.14
15:30 - 15:45,88.88,24.15,-0.50,17.39,-6.00,0.00,67.63
15:45 - 16:00,89.85,27.05,-0.50,17.39,-5.00,0.00,77.29
16:00 - 16:15,87.92,14.49,-0.50,19.32,-10.00,0.00,52.17
16:15 - 16:30,45.41,15.46,-0.50,18.36,-14.00,0.00,60.85
16:30 - 16:45,51.20,19.32,-0.50,16.42,-20.00,0.00,72.47
16:45 - 17:00,60.86,18.36,-0.50,15.46,-26.00,0.00,67.62
17:00 - 17:15,50.24,85.01,-0.50,20.29,-13.00,0.00,53.14
17:15 - 17:30,36.71,80.18,-0.50,17.39,-13.00,0.00,48.31
17:30 - 17:45,142.98,37.68,-0.50,15.46,-13.00,0.00,43.47
17:45 - 18:00,138.16,33.81,-0.50,14.49,-13.00,0.00,33.81
18:00 - 18:15,216.40,109.17,0.00,13.53,-28.00,0.00,86.95
18:15 - 18:30,173.90,101.44,-0.50,11.59,-40.00,0.00,86.95
18:30 - 18:45,12.56,87.92,-0.50,11.59,-40.00,0.00,82.12
18:45 - 19:00,-24.00,88.88,-0.50,11.59,-41.00,0.00,115.94
19:00 - 19:15,-10.00,76.32,-0.50,12.56,-41.00,0.00,64.73
19:15 - 19:30,-31.00,126.56,-0.50,12.56,-38.00,0.00,61.83
19:30 - 19:45,-7.00,131.39,-0.50,12.56,-38.00,0.00,94.68
19:45 - 20:00,24.15,125.59,-0.50,13.53,-37.00,0.00,93.71
20:00 - 20:15,11.59,41.54,-0.50,15.46,-40.00,0.00,86.95
20:15 - 20:30,48.31,50.24,-0.50,15.46,-40.00,0.00,106.26
20:30 - 20:45,43.47,87.92,-0.50,16.42,-41.00,0.00,45.41
20:45 - 21:00,45.41,101.44,-0.50,16.42,-42.00,0.00,36.71
21:00 - 21:15,-11.00,-23.00,-0.50,18.36,-45.00,0.00,59.89
21:15 - 21:30,28.02,-23.00,-0.50,18.36,-46.00,0.00,78.25
21:30 - 21:45,29.09,-37.00,-0.50,12.12,-46.00,0.00,33.33
21:45 - 22:00,47.22,-37.00,-0.50,10.61,-46.00,0.00,34.49
22:00 - 22:15,44.55,-40.00,-0.50,10.02,-47.00,0.00,42.56
22:15 - 22:30,52.52,-17.00,-0.50,9.22,-46.00,0.00,37.77
22:30 - 22:45,64.92,3.46,-0.50,5.05,-47.00,0.00,23.95
22:45 - 23:00,55.55,6.43,-0.50,4.53,-47.00,0.00,21.46
23:00 - 23:15,18.68,35.31,-0.50,2.79,-46.00,0.00,19.12
23:15 - 23:30,5.75,33.19,-0.50,2.42,-47.00,0.00,16.60
23:30 - 23:45,0.00,84.64,-0.50,2.54,-48.00,0.00,39.49
23:45 - 24:00,0.00,69.03,-0.50,2.48,-49.00,0.00,38.65
