Time,Block,NR/2024/21061/C,NR/2024/19355/A/23837,NR/2024/20048/A/23664,NR/2024/20109/A/23836,NR/2024/21064/C,NR/2024/20041/A/23668,NR/2024/20540/A/23323,NR/2024/19779/A/23456,NR/2024/20141/A/23591,NR/2024/19757/A/23988,NR/2024/21019/C,NR/2024/20599/A/23489,NR/2024/19588/A/23582,NR/2024/20572/A/23981,NR/2024/20557/A/23984,NR/2024/20130/A/23848,NR/2024/20558/A/23983,NR/2024/19642/A/24003,NR/2024/20513/A/23596,NR/2024/19637/A/23607,NR/2024/20144/A/23590,NR/2024/20037/A/23491,NR/2024/19475/A/23842,NR/2024/21097/C,NR/2024/19966/A/23588,NR/2024/20537/A/23831,NR/2024/20142/A/23589,NR/2024/19988/A/23493,NR/2024/20777/A/23485,NR/2024/19683/A/23549,NR/2024/20050/A/23662,NR/2024/19978/A/23944,NR/2024/19919/A/23936,NR/2024/19432/A/23992,NR/2024/20560/A/23982,NR/2024/19918/A/23941,NR/2024/20090/A/23532,NR/2024/19699/A/23990,NR/2024/19640/A/24002,NR/2024/20553/A/23528,NR/2024/19760/A/23495,NR/2024/19791/A/23947,NR/2024/20597/A/23660,NR/2024/20211/A/23592,NR/2024/20524/A/23866,NR/2024/20212/A/23593,NR/2024/20552/A/23529,NR/2024/20554/A/23425,NR/2024/21063/C,NR/2024/20516/A/23594,NR/2024/20515/A/23595,NR/2024/20598/A/23487,Total
10,02:15-02:30,0,96.470000,36.180000,241.180000,14.470000,0.000000,7.720000,0.530000,0.350000,48.600000,1.930000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1991.28

11,02:30-02:45,0,96.470000,36.180000,241.180000,14.470000,0.000000,7.720000,0.530000,0.350000,48.600000,1.930000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1991.28

12,02:45-03:00,0,96.470000,36.180000,241.180000,14.470000,0.000000,7.720000,0.530000,0.350000,48.600000,1.930000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1991.28

13,03:00-03:15,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

14,03:15-03:30,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

15,03:30-03:45,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

16,03:45-04:00,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

17,04:00-04:15,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

18,04:15-04:30,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

19,04:30-04:45,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

20,04:45-05:00,0,96.470000,36.180000,183.290000,9.650000,0.000000,6.750000,0.480000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1986.39

21,05:00-05:15,0,96.470000,36.180000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,73.320000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1765.53

22,05:15-05:30,0,96.470000,36.180000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,73.320000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1765.53

23,05:30-05:45,0,96.470000,36.180000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,73.320000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1765.53

24,05:45-06:00,0,96.470000,36.180000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,72.350000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,73.320000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1765.53

25,06:00-06:15,0,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1534.96

26,06:15-06:30,0,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1534.96

27,06:30-06:45,0,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1534.96

28,06:45-07:00,0.19,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.530000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1535.15

29,07:00-07:15,0.79,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.680000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1535.9

30,07:15-07:30,0.85,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.680000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1535.96

31,07:30-07:45,2.51,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.680000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1537.62

32,07:45:08:00,3.15,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.680000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1538.26

33,08:00-08:15,3.78,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1733.44

34,08:15-08:30,4.03,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,73.320000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1733.69

35,08:30-08:45,5.03,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1782.91

36,08:45:09:00,5.65,96.470000,0.000000,183.290000,24.120000,0.000000,6.750000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,0.000000,0.880000,72.350000,192.940000,0.000000,0.000000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,0.000000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1783.53

37,09:00:09:15,6.32,96.470000,0.000000,183.290000,24.120000,48.240000,9.650000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1946.29

38,09:15-09:30,5.92,96.470000,0.000000,183.290000,24.120000,48.240000,9.650000,0.960000,0.350000,242.870000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,11.720000,0.680000,24.120000,0.880000,72.350000,192.940000,0.000000,38.590000,57.880000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,121.540000,24.120000,32.890000,0.000000,1.930000,48.240000,90.680000,0.000000,48.240000,64.710000,0.000000,1.590000,0.000000,0.610000,0.000000,0.000000,168.580000,0.970000,0.880000,0.000000,1945.89

