Block,Time,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/IEX-240324-06625_1,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/DC20240501NR23726,NR/01052024/31052024/DC20240501NR23735,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/IEX_240416_00120_1,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01052024/31052024/2-R1,NR/01052024/31052024/DC20240501NR23727,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01052024/31052024/MC120240501NR23436,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/DC20240501NR23728,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/IEX-240323-06617_1,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,18.060000,10.750000,0.000000,19.310000,30.890000,83.430000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.700000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,29.17,62.67,62.67,87.5,0,0,20.66,0,29.16,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,18.060000,10.750000,0.000000,19.310000,30.890000,87.690000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.700000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,29.17,63,63,87.5,0,0,21,0,29.16,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,18.060000,10.750000,0.000000,19.310000,30.890000,91.940000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.700000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,27,63.33,63.33,81,0,0,21.34,0,27,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,18.060000,10.750000,0.000000,19.310000,30.890000,96.210000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.700000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,27.33,55.67,55.67,82,0,0,21.66,0,27.34,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,17.780000,10.750000,0.000000,19.310000,30.890000,100.460000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.600000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,27.67,56.33,56.33,83,0,0,22,0,27.66,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,17.780000,10.750000,0.000000,19.310000,30.890000,104.710000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.600000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,28,57,57,84,0,0,22,0,28,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,17.780000,10.750000,0.000000,19.310000,30.890000,108.960000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.600000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,28.33,58,58,85,0,0,22,0,28.34,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,17.780000,10.750000,0.000000,19.310000,30.890000,113.220000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.600000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,28.67,58.33,58.33,86,0,0,22,0,28.66,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,17.510000,10.750000,0.000000,19.310000,30.890000,115.780000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,30.280000,11.420000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,29.33,62.33,62.33,88,0,0,24.66,0,29.34,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,17.510000,10.750000,0.000000,19.310000,30.890000,115.780000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,31.290000,11.420000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,29.67,62,62,89,0,0,24,0,29.66,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,17.510000,10.750000,0.000000,19.310000,30.890000,115.780000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,31.290000,11.420000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,29.83,62,62,89.5,0,0,23.66,0,29.84,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,17.510000,10.750000,0.000000,19.310000,30.890000,115.780000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,31.290000,11.420000,0.000000,48.260000,5.790000,262.080000,10.410000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,29.83,62,62,89.5,0,0,23,0,29.84,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,17.230000,10.750000,0.000000,19.310000,30.890000,115.780000,30.890000,87.070000,4.830000,57.920000,0.000000,29.030000,100.560000,0.000000,46.330000,272.940000,31.290000,11.140000,0.000000,48.260000,5.790000,262.080000,10.330000,14.480000,16.100000,48.260000,0.000000,0.000000,6.760000,48.260000,19.310000,7.21,0,30.5,67.67,67.67,91.5,0,0,25.34,0,30.5,0,0,0,0,0,0,0,0,0,0

