Block,Time,NR/16042024/31052024/IEX_240323_06618,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23735,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/DC20240501NR23727,NR/01102023/06022042/L_NR_2012_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/2-R1,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/DC20240501NR23726,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23728,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,NR/01102023/22052037/LT-59,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,48.370000,30.960000,0.000000,30.960000,27.250000,14.500000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,67.5,0,20.66,116.030000,0.000000,22.5,0,56.67,0,56.67,8.01,100.780000,22.5,3.890000,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,48.370000,30.960000,0.000000,30.960000,27.250000,14.500000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,68,0,21.34,116.030000,0.000000,22.67,0,56.67,0,56.67,8.41,100.780000,22.66,3.890000,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,48.370000,30.960000,0.000000,30.960000,27.750000,14.500000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,69,0,21.66,116.030000,0.000000,23,0,56.67,0,56.67,8.61,100.780000,23,5.140000,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,48.370000,30.960000,0.000000,30.960000,27.750000,14.500000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,71,0,22,116.030000,0.000000,23.67,0,57.33,0,57.33,8.61,100.780000,23.66,5.140000,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,48.370000,30.960000,0.000000,30.960000,27.750000,14.400000,14.510000,5.800000,259.800000,16.100000,273.530000,0.000000,19.350000,48.370000,46.440000,0.000000,5.390000,4.840000,0.000000,0.000000,0.000000,86.610000,6.330000,19.350000,48.370000,24.180000,6.770000,0,29.090000,72.5,0,22.66,116.030000,0.000000,24.17,0,58,0,58,8.81,100.780000,24.16,5.140000,0,0,0,0,0,0,0,0,0,0

