Block,Time,NR/28122023/28122023/DD20231228NR21967,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/23122023/31122023/HP-17,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/28122023/28122023/IEX_231227_05960,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/28122023/28122023/HPX-TAMCTG-271223-05534,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/20122023/29022024/IEX_LDC_231218_00502,NR/28122023/28122023/IEX_231227_05959,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/23122023/31122023/HP-21,NR/01102023/19072037/LT-05,NR/20122023/29022024/IEX_LDC_231218_00501,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/23122023/31122023/SJVN231223NR1309,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/23122023/31122023/SJVN231223NR1310,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,175.930000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,26.72,0,0,0,32.03,0,80.17,0,0,22.84,48.16,0,26.72,0,0,64.42,64.42,0,0

2,00:15-00:30,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,127.770000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,26.74,0,0,0,31.96,0,80.23,0,0,22.49,48.16,0,26.74,0,0,64.42,64.42,0,0

3,00:30-00:45,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,26.72,0,0,0,32.17,0,80.16,0,0,21.57,48.16,0,26.72,0,0,64.08,64.08,0,0

4,00:45-01:00,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,23.110000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,26.73,0,0,0,32.32,0,80.2,0,0,20.16,48.16,0,26.73,0,0,63.75,63.75,0,0

5,01:00-01:15,0.000000,25.990000,1.570000,0.000000,114.950000,0.000000,48.160000,144.460000,96.310000,24.080000,14.450000,0.000000,0.000000,1.010000,11.560000,48.160000,111.720000,25.990000,5.780000,0.000000,31.780000,148.970000,1.150000,147.720000,71.650000,8.190000,0,0,0,0,0,26.72,0,0,0,32.86,0,80.21,0,0,19.07,48.16,0,26.74,0,0,63.42,63.42,0,0

