Block,Time,JHAJJAR
1,00:00-00:15,0.000000

2,00:15-00:30,0.000000

3,00:30-00:45,0.000000

4,00:45-01:00,0.000000

5,01:00-01:15,0.000000

6,01:15-01:30,0.000000

7,01:30-01:45,0.000000

8,01:45-02:00,0.000000

9,02:00-02:15,0.000000

10,02:15-02:30,0.000000

11,02:30-02:45,0.000000

12,02:45-03:00,0.000000

13,03:00-03:15,0.000000

14,03:15-03:30,0.000000

15,03:30-03:45,0.000000

16,03:45-04:00,0.000000

17,04:00-04:15,0.000000

18,04:15-04:30,0.000000

19,04:30-04:45,0.000000

20,04:45-05:00,0.000000

21,05:00-05:15,0.000000

22,05:15-05:30,0.000000

23,05:30-05:45,0.000000

24,05:45-06:00,0.000000

25,06:00-06:15,0.000000

26,06:15-06:30,0.000000

27,06:30-06:45,0.000000

28,06:45-07:00,0.000000

29,07:00-07:15,0.000000

30,07:15-07:30,0.000000

31,07:30-07:45,0.000000

32,07:45:08:00,0.000000

33,08:00-08:15,0.000000

34,08:15-08:30,0.000000

35,08:30-08:45,0.000000

36,08:45:09:00,0.000000

37,09:00:09:15,0.000000

38,09:15-09:30,0.000000

39,09:30-09:45,0.000000

40,09:45-10:00,0.000000

41,10:00-10:15,0.000000

42,10:15-10:30,0.000000

43,10:30-10:45,0.000000

44,10:45-11:00,0.000000

45,11:00-11:15,0.000000

46,11:15-11:30,0.000000

47,11:30-11:45,0.000000

48,11:45-12:00,0.000000

49,12:00-12:15,0.000000

50,12:15-12:30,0.000000

51,12:30-12:45,0.000000

52,12:45-13:00,0.000000

53,13:00-13:15,0.000000

54,13:15-13:30,0.000000

55,13:30-13:45,0.000000

56,13:45-14:00,0.000000

57,14:00-14:15,0.000000

58,14:15-14:30,88.000000

59,14:30-14:45,89.000000

60,14:45-15:00,91.000000

61,15:00-15:15,90.000000

62,15:15-15:30,87.000000

63,15:30-15:45,47.000000

64,15:45-16:00,48.000000

65,16:00-16:15,46.000000

66,16:15-16:30,48.000000

67,16:30-16:45,49.000000

68,16:45-17:00,42.000000

69,17:00-17:15,38.000000

70,17:15-17:30,40.000000

71,17:30-17:45,50.000000

72,17:45-18:00,50.000000

73,18:00-18:15,50.000000

74,18:15-18:30,50.000000

75,18:30-18:45,50.000000

76,18:45-19:00,50.000000

77,19:00-19:15,0.000000

78,19:15-19:30,0.000000

79,19:30-19:45,0.000000

80,19:45-20:00,0.000000

81,20:00-20:15,0.000000

82,20:15-20:30,0.000000

83,20:30-20:45,0.000000

84,20:45-21:00,0.000000

85,21:00-21:15,0.000000

86,21:15-21:30,0.000000

87,21:30-21:45,0.000000

88,21:45-22:00,0.000000

89,22:00-22:15,0.000000

90,22:15-22:30,0.000000

91,22:30-22:45,0.000000

92,22:45-23:00,0.000000

93,23:00-23:15,0.000000

94,23:15-23:30,0.000000

95,23:30-23:45,0.000000

96,23:45-24:00,0.000000

