Block,Time,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/19072037/LT-05,NR/01052024/31052024/M20240501NR23406,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/DC20240501NR23726,NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/13082046/L_NR_2021_12,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/DC20240501NR23727,WR/01102023/01102023/L_NR_2020_06,NR/01052024/31052024/DC20240501NR23735,NR/26072023/25122043/L_NR_2023_10,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/MC120240501NR23436,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/01052024/31052024/IEX-240323-06617_1,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/22102023/11042047/L_NR_2021_17,NR/01052024/31052024/2-R1,NR/16042024/31052024/IEX_240323_06618,NR/30092023/26122029/SH-06,NR/01042024/31072024/LT_MEJA_DELHI
1,00:00-00:15,0,0,0.000000,115.650000,24.180000,55.67,0,0,5.770000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.220000,5.800000,22.16,0.000000,0,6.770000,14.510000,0.000000,27.250000,22.17,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,55.67,0,0,262.650000,87.260000,20,0,0,273.530000,66.5,29.990000,6.380000,6.850000,0,48.370000,48.370000,29.990000,16.100000

2,00:15-00:30,0,0,0.000000,115.650000,24.180000,56,0,0,5.770000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.220000,5.800000,22.5,0.000000,0,6.770000,14.510000,0.000000,27.250000,22.5,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,56,0,0,262.650000,87.260000,20,0,0,273.530000,67.5,29.990000,6.380000,6.850000,0,48.370000,48.370000,29.990000,16.100000

3,00:30-00:45,0,0,0.000000,115.650000,24.180000,56.33,0,0,6.330000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.220000,5.800000,22.84,0.000000,0,6.770000,14.510000,0.000000,27.750000,22.83,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,56.33,0,0,262.650000,87.260000,20.34,0,0,273.530000,68.5,29.990000,6.380000,6.850000,0,48.370000,48.370000,29.990000,16.100000

4,00:45-01:00,0,0,0.000000,115.650000,24.180000,56.67,0,0,6.330000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.220000,5.800000,29.16,0.000000,0,6.770000,14.510000,0.000000,27.750000,29.17,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,56.67,0,0,262.650000,87.260000,20.66,0,0,273.530000,87.5,29.990000,6.380000,6.850000,0,48.370000,48.370000,29.990000,16.100000

5,01:00-01:15,0,0,0.000000,115.650000,24.180000,63.33,0,0,6.330000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.130000,5.800000,28.66,0.000000,0,6.770000,14.510000,0.000000,27.750000,28.67,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,63.33,0,0,262.650000,87.260000,21,0,0,273.530000,86,29.990000,6.380000,6.850000,0,48.370000,48.370000,29.990000,16.100000

6,01:15-01:30,0,0,0.000000,115.650000,24.180000,63.33,0,0,6.330000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.130000,5.800000,28.34,0.000000,0,6.770000,14.510000,0.000000,27.750000,28.33,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,63.33,0,0,262.650000,87.260000,25.66,0,0,273.530000,85,29.990000,6.380000,6.850000,0,48.370000,48.370000,29.990000,16.100000

7,01:30-01:45,0,0,0.000000,115.650000,24.180000,73.33,0,0,6.330000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.130000,5.800000,28,0.000000,0,6.770000,14.510000,0.000000,27.750000,28,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,73.33,0,0,260.190000,86.390000,25.34,0,0,273.530000,84,30.960000,6.380000,6.690000,0,48.370000,48.370000,30.960000,16.100000

8,01:45-02:00,0,0,0.000000,115.650000,24.180000,73.33,0,0,6.330000,4.840000,48.370000,0.000000,100.780000,0,0.000000,29.090000,14.130000,5.800000,27.66,0.000000,0,6.770000,14.510000,0.000000,27.750000,27.67,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,73.33,0,0,260.190000,86.390000,25,0,0,273.530000,83,30.960000,6.380000,6.690000,0,48.370000,48.370000,30.960000,16.100000

9,02:00-02:15,0,0,0.000000,115.650000,24.180000,73.33,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,19.100000,14.040000,5.800000,31.34,0.000000,0,6.770000,14.510000,0.000000,27.750000,31.33,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,73.33,0,0,262.650000,87.260000,28.66,0,0,273.530000,94,30.960000,6.310000,6.690000,0,48.370000,48.370000,30.960000,16.100000

10,02:15-02:30,0,0,0.000000,115.650000,24.180000,73.33,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,19.380000,14.040000,5.800000,31,0.000000,0,6.770000,14.510000,0.000000,27.750000,31,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,73.33,0,0,262.650000,87.260000,28.34,0,0,273.530000,93,30.960000,6.310000,6.690000,0,48.370000,48.370000,30.960000,16.100000

11,02:30-02:45,0,0,0.000000,115.650000,24.180000,73.33,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,19.380000,14.040000,5.800000,30.84,0.000000,0,6.770000,14.510000,0.000000,27.750000,30.83,0,0,46.440000,0.000000,19.350000,0.000000,0,7.01,19.350000,73.33,0,0,262.650000,87.260000,28,0,0,273.530000,92.5,3.820000,6.310000,5.450000,0,48.370000,48.370000,30.960000,16.100000

12,02:45-03:00,0,0,0.000000,115.650000,24.180000,73,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,19.660000,14.040000,5.800000,30.84,0.000000,0,6.770000,14.510000,0.000000,27.750000,30.83,0,0,46.440000,0.000000,19.350000,0.000000,0,7.21,19.350000,73,0,0,262.650000,87.260000,27.66,0,0,273.530000,92.5,13.500000,6.310000,6.230000,0,48.370000,48.370000,30.960000,16.100000

13,03:00-03:15,0,0,0.000000,115.650000,24.180000,70,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,20.000000,13.950000,5.800000,30.66,0.000000,0,6.770000,14.510000,0.000000,27.750000,30.67,0,0,46.440000,0.000000,19.350000,0.000000,0,7.21,19.350000,70,0,0,262.650000,87.260000,30,0,0,273.530000,92,13.500000,6.310000,6.230000,0,48.370000,48.370000,30.960000,16.100000

14,03:15-03:30,0,0,0.000000,85.320000,24.180000,69.33,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,20.280000,13.950000,5.800000,30.34,0.000000,0,6.770000,14.510000,0.000000,27.750000,30.33,0,0,46.440000,0.000000,19.350000,0.000000,0,7.21,19.350000,69.33,0,0,235.610000,68.230000,29.66,0,0,232.180000,91,25.000000,6.310000,6.230000,0,48.370000,48.370000,30.960000,16.100000

15,03:30-03:45,0,0,0.000000,66.350000,24.180000,69.33,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,20.560000,13.950000,5.800000,28.66,0.000000,0,6.770000,14.510000,0.000000,27.750000,28.67,0,0,46.440000,0.000000,19.350000,0.000000,0,9.94,19.350000,69.33,0,0,235.610000,68.230000,29.34,0,0,273.530000,86,25.000000,6.310000,6.230000,0,48.370000,48.370000,30.960000,16.100000

16,03:45-04:00,0,0,0.000000,66.350000,24.180000,68.33,0,0,6.140000,4.840000,48.370000,0.000000,100.780000,0,0.000000,20.840000,13.950000,5.800000,28,0.000000,0,6.770000,14.510000,0.000000,27.750000,28,0,0,46.440000,0.000000,19.350000,0.000000,0,9.96,19.350000,68.33,0,0,206.590000,56.710000,29,0,0,273.530000,84,25.000000,6.310000,6.230000,0,48.370000,48.370000,30.960000,16.100000

17,04:00-04:15,0,0,0.000000,66.350000,24.180000,61.67,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,0,0.000000,20.840000,13.850000,5.800000,27.5,0.000000,0,6.770000,14.510000,0.000000,26.740000,27.5,0,0,46.440000,0.000000,19.350000,0.000000,0,14,19.350000,61.67,0,0,206.590000,56.710000,27.66,0,0,273.530000,82.5,25.000000,6.150000,6.230000,0,48.370000,48.370000,30.960000,16.100000

18,04:15-04:30,0,0,0.000000,66.350000,24.180000,62,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,0,0.000000,20.840000,13.850000,5.800000,27,0.000000,0,6.770000,14.510000,0.000000,26.740000,27,0,0,46.440000,0.000000,19.350000,0.000000,0,13.6,19.350000,62,0,0,206.590000,56.710000,27,0,0,273.530000,81,25.000000,6.150000,6.230000,0,48.370000,48.370000,30.960000,16.100000

19,04:30-04:45,0,0,0.000000,66.350000,24.180000,62.33,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,0,0.000000,21.180000,13.850000,5.800000,26.66,0.000000,0,6.770000,14.510000,0.000000,26.740000,26.67,0,0,46.440000,0.000000,19.350000,0.000000,0,13,19.350000,62.33,0,0,184.700000,32.890000,23.34,0,0,273.530000,80,25.000000,6.150000,6.070000,0,48.370000,48.370000,30.960000,16.100000

20,04:45-05:00,0,0,0.000000,66.350000,24.180000,62.67,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,0,0.000000,21.460000,13.850000,5.800000,26.34,0.000000,0,6.770000,14.510000,0.000000,26.740000,26.33,0,0,46.440000,0.000000,19.350000,0.000000,0,12.6,19.350000,62.67,0,0,165.350000,32.890000,22.66,0,0,273.530000,79,25.000000,6.150000,6.070000,0,48.370000,48.370000,30.960000,16.100000

21,05:00-05:15,0,0,66.930000,85.320000,24.180000,51.67,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,0.09,0.000000,22.020000,13.670000,5.800000,25.84,0.000000,0,6.770000,14.510000,0.000000,26.740000,25.83,0.02,0,46.440000,0.000000,19.350000,0.000000,0,12.21,19.350000,51.67,0,0,146.000000,44.410000,15,0,0,232.180000,77.5,25.000000,6.150000,6.070000,0,48.370000,48.370000,30.960000,12.290000

22,05:15-05:30,0,0,66.930000,115.650000,24.180000,51.67,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,0.36,0.000000,22.630000,13.670000,5.800000,25.84,0.000000,0,6.770000,14.510000,0.000000,26.740000,25.83,0.07,0,46.440000,0.000000,19.350000,0.000000,0,11.61,19.350000,51.67,0,0,202.050000,63.440000,15,0,0,273.530000,77.5,13.500000,6.150000,6.070000,0,48.370000,48.370000,30.960000,12.290000

23,05:30-05:45,0,0,66.930000,115.650000,24.180000,58,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,0.82,0.000000,22.970000,13.670000,5.800000,22.5,0.000000,0,6.770000,14.510000,0.000000,26.740000,22.5,0.16,0,46.440000,0.000000,19.350000,0.000000,0,10.21,19.350000,58,0,0,202.050000,63.440000,15,0,0.009747,273.530000,67.5,13.500000,6.150000,6.070000,0,48.370000,48.370000,30.960000,12.290000

24,05:45-06:00,0,0,66.930000,115.650000,24.180000,58,0,0,5.950000,4.840000,48.370000,0.000000,100.780000,1.44,0.000000,23.300000,13.670000,5.800000,22.66,0.000000,0,6.770000,14.510000,0.000000,26.240000,22.67,0.29,0,46.440000,0.000000,19.350000,0.000000,0,9.61,19.350000,58,0,0,202.050000,63.440000,15,0,1.501038,273.530000,68,3.820000,6.150000,6.070000,0,48.370000,48.370000,30.960000,12.290000

25,06:00-06:15,7.92,1,66.930000,115.650000,24.180000,58.33,0,0.1,5.810000,4.840000,48.370000,0.000000,100.780000,7.06,0.000000,23.640000,13.490000,5.800000,23,0.000000,1,6.770000,14.510000,0.000000,25.730000,23,1.41,0,46.440000,0.000000,19.350000,0.000000,5.05,18,19.350000,58.33,0,1,199.600000,62.570000,15,0,3.596643,273.530000,69,3.820000,6.310000,5.450000,0,48.370000,48.370000,30.960000,12.290000

26,06:15-06:30,13.55,4,66.930000,115.650000,24.180000,58.67,0,1,5.810000,4.840000,48.370000,0.040000,100.780000,12.12,0.040000,23.810000,13.490000,5.800000,23,0.000000,1,6.770000,14.510000,0.040000,25.230000,23,2.42,0.43,46.440000,0.000000,19.350000,0.000000,10.68,17.6,19.350000,58.67,0,2,199.600000,62.570000,15.34,2,7.924311,273.530000,69,3.820000,6.310000,5.450000,1,48.370000,48.370000,30.960000,12.290000

27,06:30-06:45,17.95,7,66.930000,115.650000,24.180000,59,0,2,5.810000,4.840000,48.370000,0.280000,100.780000,18.96,0.290000,23.810000,13.490000,5.800000,24,0.000000,3,6.770000,14.510000,0.280000,25.230000,24,3.79,2.01,46.440000,0.000000,19.350000,0.000000,22.62,17,19.350000,59,0,5,202.050000,63.440000,15.66,5,13.207185,273.530000,72,13.500000,6.310000,5.450000,3,48.370000,48.370000,30.960000,12.290000

28,06:45-07:00,25.28,14,66.930000,85.320000,24.180000,59.33,0,5,5.810000,4.840000,48.370000,0.740000,100.780000,26.57,0.760000,23.810000,13.490000,5.800000,24.34,0.000000,6,6.770000,14.510000,0.740000,25.230000,24.33,5.31,4.34,46.440000,0.000000,19.350000,0.000000,30.13,16.6,19.350000,59.33,0,8,165.350000,44.410000,16,9,19.659699,273.530000,73,25.000000,6.310000,5.450000,4,48.370000,48.370000,30.960000,12.290000

29,07:00-07:15,29.43,21,66.930000,76.780000,24.180000,55,0,7.54,5.810000,4.840000,48.370000,1.310000,100.780000,39.2,1.340000,23.810000,13.300000,5.800000,23.34,0.000000,9,6.770000,14.510000,1.310000,25.230000,23.33,7.84,15,46.440000,0.000000,19.350000,0.000000,29.42,16.2,19.350000,55,0,11,202.050000,32.890000,10.66,18,26.940708,273.530000,70,25.020000,6.310000,5.450000,5,48.370000,48.370000,30.960000,12.290000

30,07:15-07:30,25.82,35,66.930000,68.250000,24.180000,55,0,10.46,5.810000,4.840000,48.370000,2.100000,100.780000,53.27,2.150000,23.930000,13.300000,5.800000,23.34,0.000000,15,6.770000,14.510000,2.100000,24.220000,23.33,10.65,20,46.440000,0.000000,19.350000,0.000000,25.81,15.8,19.350000,55,0,16,202.050000,51.920000,10.66,25.82,34.884513,273.530000,70,25.020000,6.310000,5.450000,8,48.370000,48.370000,30.960000,12.290000

31,07:30-07:45,27.48,49,66.930000,66.350000,24.180000,55,0,15.61,5.810000,4.840000,48.370000,3.240000,100.780000,68.43,3.310000,24.010000,13.300000,5.800000,21.66,0.000000,21,6.770000,14.510000,3.240000,24.220000,21.67,13.68,25,46.440000,0.000000,19.350000,0.000000,27.49,8.01,19.350000,55,0,23,202.050000,51.920000,11,27.48,42.828318,273.530000,65,25.020000,6.310000,5.450000,12,48.370000,48.370000,30.960000,12.290000

32,07:45:08:00,28.65,67,66.930000,66.350000,24.180000,55,0,19.71,5.810000,4.840000,48.370000,4.190000,100.780000,84,4.300000,23.810000,13.300000,5.800000,21.66,0.000000,28,6.770000,14.510000,4.190000,24.220000,21.67,16.8,31.67,46.440000,0.000000,19.350000,0.000000,28.65,7.61,19.350000,55,0,32,202.050000,51.920000,11.34,28.65,50.918328,273.530000,65,25.020000,6.310000,5.450000,16,48.370000,48.370000,30.960000,12.290000

33,08:00-08:15,29.32,84,66.930000,70.520000,24.180000,55,0,23.37,5.680000,4.840000,48.370000,5.490000,67.720000,100.93,5.620000,23.810000,13.120000,5.800000,22,0.000000,36,6.770000,14.510000,5.490000,23.710000,22,20.19,36.67,46.440000,0.000000,19.350000,0.000000,29.31,7.41,19.350000,55,0,39,202.050000,51.920000,11.66,29.32,59.16429,273.530000,66,25.020000,6.230000,5.450000,20,48.370000,48.370000,30.960000,12.290000

34,08:15-08:30,30.5,102,66.930000,70.520000,24.180000,55.33,0,26.63,5.680000,4.840000,48.370000,6.680000,67.720000,118.19,6.840000,23.810000,13.120000,5.800000,22.16,0.000000,43,6.770000,14.510000,6.680000,23.710000,22.17,23.64,40.36,46.440000,0.000000,19.350000,0.000000,30.5,7.41,19.350000,55.33,0,46,202.050000,51.920000,12,30.5,67.468734,273.530000,66.5,25.020000,6.230000,5.450000,23,48.370000,48.370000,30.960000,12.290000

35,08:30-08:45,30.5,116,66.930000,70.520000,24.180000,55.67,0,29.73,5.680000,4.840000,48.370000,7.910000,67.720000,135.43,8.100000,23.810000,13.120000,5.800000,22.34,0.000000,49,6.770000,14.510000,7.910000,23.710000,22.33,27.09,48.05,46.440000,0.000000,19.350000,0.000000,30.5,7.41,19.350000,55.67,0,53,202.050000,51.920000,12.66,30.5,75.432033,273.530000,67,25.910000,6.230000,5.450000,27,48.370000,48.370000,25.910000,12.290000

36,08:45:09:00,30.5,130,66.930000,70.520000,24.180000,56,0,32.53,5.680000,4.840000,48.370000,9.040000,58.040000,152.1,9.260000,23.810000,13.120000,5.800000,22.5,0.000000,55,6.770000,14.510000,9.040000,24.220000,22.5,30.42,55.38,46.440000,0.000000,19.350000,0.000000,30.5,7.41,19.350000,56,0,61,202.050000,51.920000,13,30.5,83.200392,273.530000,67.5,25.910000,6.230000,5.450000,31,48.370000,48.370000,25.910000,12.290000

37,09:00:09:15,30.5,144,66.930000,70.520000,24.180000,56.33,0,33.52,5.530000,4.840000,48.370000,10.200000,53.210000,167.35,10.460000,23.810000,12.930000,5.800000,19.5,0.000000,61,6.770000,14.510000,10.200000,25.230000,19.5,33.47,62.28,46.440000,0.000000,19.350000,0.000000,30.5,7.21,19.350000,56.33,0,68,202.050000,51.920000,14,30.5,90.656847,273.530000,58.5,25.910000,6.310000,5.450000,34,48.370000,48.370000,25.910000,12.290000

