Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/DC20240501NR23726,NR/30092023/26122029/SH-06,NR/01052024/31052024/IEX_240416_00120_1,NR/01052024/31052024/DC20240501NR23727,NR/01102023/31052040/LT-31,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23735,NR/30092023/31122025/SH-07,NR/16042024/31052024/IEX_240323_06618,NR/01102023/06022042/L_NR_2012_02,WR/01102023/16072048/L_NR_2022_08,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25122043/GNA_MEJA_DELHI,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/MC120240501NR23436,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01052024/31052024/IEX_240415_00115_1,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01052024/31052024/2-R1,WR/01102023/24112044/L_NR_2020_07,NR/01042024/31072024/LT_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,10.560000,0,0.000000,11.600000,0,60,0,29.16,0,0.000000,19.170000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,20,115.400000,0.000000,14.440000,19.310000,100.560000,87.5,0.000000,0,60,9.01,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,29.17,15.620000,0,0,0,0,0,0,0,0

2,00:15-00:30,10.560000,0,0.000000,11.600000,0,60,0,29.66,0,0.000000,19.170000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,20.66,115.400000,0.000000,14.440000,19.310000,100.560000,89,0.000000,0,60,8.61,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,29.67,15.620000,0,0,0,0,0,0,0,0

3,00:30-00:45,10.560000,0,0.000000,11.600000,0,62,0,30.28,0,0.000000,19.170000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,21.34,115.400000,0.000000,14.440000,19.310000,100.560000,90.84,0.000000,0,62,8.41,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,30.28,15.620000,0,0,0,0,0,0,0,0

4,00:45-01:00,10.560000,0,0.000000,11.600000,0,64,0,30.98,0,0.000000,19.170000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,22,115.400000,0.000000,14.440000,19.310000,100.560000,92.94,0.000000,0,64,13,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,30.98,15.620000,0,0,0,0,0,0,0,0

5,01:00-01:15,10.560000,0,0.000000,11.600000,0,66,0,31.77,0,0.000000,18.890000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,22.66,115.400000,0.000000,14.440000,19.310000,100.560000,95.29,0.000000,0,66,12.6,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,31.76,15.620000,0,0,0,0,0,0,0,0

6,01:15-01:30,10.560000,0,0.000000,11.600000,0,67,0,33.51,0,0.000000,18.890000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,23,115.400000,0.000000,14.440000,19.310000,100.560000,100.5,0.000000,0,67,12.41,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,33.5,15.620000,0,0,0,0,0,0,0,0

7,01:30-01:45,10.560000,0,0.000000,11.600000,0,66.67,0,33.62,0,0.000000,18.890000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,21.66,115.400000,0.000000,14.440000,19.310000,100.560000,100.86,0.000000,0,66.67,10.01,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,33.62,15.620000,0,0,0,0,0,0,0,0

8,01:45-02:00,10.560000,0,0.000000,11.600000,0,66.67,0,33.66,0,0.000000,18.890000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,21.66,115.400000,0.000000,14.440000,19.310000,100.560000,100.93,0.000000,0,66.67,10.01,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,33.64,15.620000,0,0,0,0,0,0,0,0

9,02:00-02:15,10.560000,0,0.000000,11.600000,0,66.67,0,28.5,0,0.000000,18.520000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,21.66,115.400000,0.000000,14.440000,19.310000,100.560000,85.5,0.000000,0,66.67,10.01,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,28.5,8.630000,0,0,0,0,0,0,0,0

10,02:15-02:30,10.560000,0,0.000000,11.600000,0,66.67,0,28.5,0,0.000000,18.520000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,21.66,115.400000,0.000000,14.440000,19.310000,100.560000,85.5,0.000000,0,66.67,10.01,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,28.5,8.630000,0,0,0,0,0,0,0,0

11,02:30-02:45,10.560000,0,0.000000,11.600000,0,66.67,0,28.5,0,0.000000,18.520000,6.760000,4.830000,30.890000,46.330000,5.790000,0.000000,39.580000,57.920000,30.890000,48.260000,262.080000,21.66,115.400000,0.000000,14.440000,19.310000,100.560000,85.5,0.000000,0,66.67,11.2,19.310000,14.480000,31.290000,10.410000,48.260000,272.940000,87.070000,0,48.260000,28.5,8.630000,0,0,0,0,0,0,0,0

