Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/30092023/31122025/SH-07,NR/01102023/23072042/L_NR_2012_04,NR/16052024/16052024/IEX_240515_00567,NR/01102023/06022042/L_NR_2012_07,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/15082037/GNA_NR_2012_01,NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/19072037/LT-05,NR/01052024/31052024/DC20240501NR23728,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/2-R1,NR/01102023/31052040/LT-31,NR/01052024/31052024/IEX-240324-06625_1,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/DC20240501NR23726,NR/01052024/31052024/DC20240501NR23727,NR/01102023/30042040/GNA_LT_35,NR/01052024/31052024/M20240501NR23406,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/16052024/16052024/IEX_240515_00566,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/DC20240501NR23735,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/IEX_240416_00120_1
1,00:00-00:15,0,10.66,36.67,14,0,0,0,0,0,14,0,42,0,0,7.01,0,0,0,36.67,30.930000,0.000000,193.340000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.560000,26.750000,30.930000,10.110000,0.000000,17.620000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.540000,262.460000,96.670000,48.340000,48.340000,58.000000,0.000000,46.400000

2,00:15-00:30,0,11,37.67,14.5,0,0,0,0,0,14.5,0,43.5,0,0,7.01,0,0,0,37.67,30.930000,0.000000,193.340000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.560000,26.750000,30.930000,10.110000,0.000000,17.620000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.540000,262.460000,96.670000,48.340000,48.340000,58.000000,0.000000,46.400000

3,00:30-00:45,0,11.34,38.33,15.17,0,0,0,0,0,15.16,0,45.5,0,0,10.01,0,0,0,38.33,30.930000,0.000000,193.340000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.560000,26.750000,30.930000,10.110000,0.000000,17.620000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.540000,262.460000,96.670000,48.340000,48.340000,58.000000,0.000000,46.400000

4,00:45-01:00,0,11.66,39,15.67,0,0,0,0,0,15.66,0,47,0,0,10.01,0,0,0,39,30.930000,0.000000,193.340000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.560000,26.750000,30.930000,10.110000,0.000000,17.620000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.540000,262.460000,96.670000,48.340000,48.340000,58.000000,0.000000,46.400000

5,01:00-01:15,0,11.66,40,16.17,0,0,0,0,0,16.16,0,48.5,0,0,9.81,0,0,0,40,30.930000,0.000000,193.340000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.360000,26.240000,30.930000,9.800000,0.000000,17.440000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.150000,262.460000,48.340000,48.340000,48.340000,58.000000,0.000000,46.400000

6,01:15-01:30,0,11.66,40.33,16.5,0,0,0,0,0,16.5,0,49.5,0,0,9.41,0,0,0,40.33,30.930000,0.000000,193.340000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.360000,26.240000,30.930000,9.800000,0.000000,17.440000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.150000,262.460000,48.340000,48.340000,48.340000,58.000000,0.000000,46.400000

7,01:30-01:45,0,11.66,34,16.83,0,0,0,0,0,16.84,0,50.5,0,0,9.01,0,0,0,34,30.930000,0.000000,0.000000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.360000,26.240000,30.930000,9.800000,0.000000,17.440000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.150000,262.460000,0.000000,48.340000,48.340000,58.000000,0.000000,46.400000

8,01:45-02:00,0,11.66,34.33,17.17,0,0,0,0,0,17.16,0,51.5,0,0,8.61,0,0,0,34.33,30.930000,0.000000,0.000000,87.200000,16.120000,14.500000,29.070000,100.710000,19.330000,57.970000,6.770000,8.360000,26.240000,30.930000,9.800000,0.000000,17.440000,48.340000,0.000000,19.330000,273.330000,4.830000,5.800000,0.000000,39.630000,10.150000,262.460000,0.000000,48.340000,48.340000,58.000000,0.000000,46.400000

