Block,Time,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01052024/31052024/MC120240501NR23436,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/DC20240501NR23735,NR/01052024/31052024/2-R1,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23726,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/06022042/L_NR_2012_02,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/19072037/LT-05,NR/01052024/31052024/DC20240501NR23728,NR/01102023/15082037/GNA_NR_2012_01,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01052024/31052024/M20240501NR23406,NR/16042024/31052024/IEX_240323_06618,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01052024/31052024/IEX-240324-06625_1,NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/30042040/GNA_LT_36,NR/01042024/31072024/LT_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/DC20240501NR23727,NR/01102023/02122045/L_NR_2021_13,NR/01102023/02012046/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,13.480000,14.510000,0.000000,4.090000,0.000000,48.360000,0.000000,48.360000,30.780000,4.840000,46.420000,262.570000,29.080000,115.620000,6.770000,100.750000,0.000000,24.180000,48.360000,0.000000,25.730000,0.000000,87.230000,4.670000,30.780000,19.340000,19.340000,0.000000,16.130000,273.450000,4.610000,5.800000,0,0,38.33,0,14.34,0,0,14.33,0,0,0,0,11.66,0,0,0,0,38.33,0,43,10.01

2,00:15-00:30,13.480000,14.510000,0.000000,4.090000,0.000000,48.360000,0.000000,48.360000,30.780000,4.840000,46.420000,262.570000,29.080000,115.620000,6.770000,100.750000,0.000000,24.180000,48.360000,0.000000,25.730000,0.000000,87.230000,4.670000,30.780000,19.340000,19.340000,0.000000,16.130000,273.450000,4.610000,5.800000,0,0,39.33,0,14.84,0,0,14.83,0,0,0,0,12.34,0,0,0,0,39.33,0,44.5,9.41

3,00:30-00:45,13.480000,14.510000,0.000000,4.090000,0.000000,48.360000,0.000000,48.360000,30.780000,4.840000,46.420000,262.570000,29.080000,115.620000,6.770000,100.750000,0.000000,24.180000,48.360000,0.000000,25.730000,0.000000,87.230000,4.670000,30.780000,19.340000,19.340000,0.000000,16.130000,273.450000,4.610000,5.800000,0,0,40.33,0,15.34,0,0,15.33,0,0,0,0,13,0,0,0,0,40.33,0,46,8.81

4,00:45-01:00,13.480000,14.510000,0.000000,4.090000,0.000000,48.360000,0.000000,48.360000,30.780000,4.840000,46.420000,262.570000,29.080000,115.620000,6.770000,100.750000,0.000000,24.180000,48.360000,0.000000,25.730000,0.000000,87.230000,4.670000,30.780000,19.340000,19.340000,0.000000,16.130000,273.450000,4.610000,5.800000,0,0,42,0,15.66,0,0,15.67,0,0,0,0,13.66,0,0,0,0,42,0,47,7.01

5,01:00-01:15,13.380000,14.510000,0.000000,4.090000,0.000000,48.360000,0.000000,48.360000,30.780000,4.840000,46.420000,262.570000,29.080000,115.620000,6.770000,100.750000,0.000000,24.180000,48.360000,0.000000,25.230000,0.000000,87.230000,4.670000,30.780000,19.340000,19.340000,0.000000,16.130000,273.450000,4.540000,5.800000,0,0,42.67,0,16,0,0,16,0,0,0,0,14.34,0,0,0,0,42.67,0,48,7.01

