Time,Block,NR/30092023/31122025/SH-07,NR/30072024/30072024/IEX_240729-01767,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30072024/30072024/IEX_240729-01765,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/R2,NR/2024/21062/A/29767,NR/30092023/26122029/SH-06,NR/2024/21141/A/29652,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21023/A/29508,NR/2024/21148/A/29535,NR/2024/21096/A/29796,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21567/A/29777,NR/2024/21089/A/29779,NR/2024/20966/A/29472,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21108/A/29793,NR/2024/22057/C,NR/2024/21072/A/29780,NR/2024/21075/A/29822,NR/2024/20573/A/29769,NR/2024/21210/A/29648,NR/2024/21227/A/29794,NR/2024/22089/C,NR/2024/22055/C,NR/2024/21142/A/29650,NR/2024/21113/A/29778,NR/2024/21186/A/29789,NR/2024/21103/A/29795,NR/2024/22076/C,NR/2024/22119/C,NR/2024/21150/A/29536,NR/2024/20931/A/29709,NR/2024/21087/A/29531,NR/2024/21339/A/29644,NR/2024/21152/A/29471,NR/2024/20711/A/29677,NR/2024/21173/A/29530,NR/2024/22056/C,NR/2024/21099/A/29654,NR/2024/21144/A/29504,NR/2024/21153/A/29534,NR/2024/19779/A/29454,NR/2024/21199/A/29507,NR/2024/21158/A/29540,NR/2024/22061/C,NR/2024/21183/A/29816,NR/2024/20574/A/29768,NR/2024/21978/A/29505,NR/2024/21238/A/29814,NR/2024/20688/A/29532,NR/2024/21160/A/29538,NR/2024/22064/C,NR/2024/21076/A/29821,NR/2024/22072/C,NR/2024/21682/A/29676,NR/2024/21156/A/29533,NR/2024/21159/A/29539,NR/2024/21146/A/29537,Total

3,00:30-00:45,32.000000,48.160000,72.240000,96.320000,96.320000,24.080000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,12.180000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,35.560000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.630000,0.000000,0.670000,121.360000,21.190000,12.040000,9.630000,2.890000,66.640000,0.970000,96.320000,90.540000,38.530000,240.800000,0.610000,0.880000,0.360000,2214.95

4,00:45-01:00,32.000000,48.160000,72.240000,96.320000,96.320000,24.080000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,12.180000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,35.170000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.630000,0.000000,0.670000,121.360000,21.190000,12.040000,9.630000,2.890000,66.640000,0.970000,96.320000,90.540000,38.530000,240.800000,0.610000,0.880000,0.360000,2214.56

5,01:00-01:15,32.000000,48.160000,72.240000,96.320000,96.320000,24.080000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,12.180000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,37.050000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,121.360000,21.190000,12.040000,9.630000,2.890000,66.640000,0.970000,0.000000,90.540000,38.530000,240.800000,0.610000,0.880000,0.360000,2120.07

6,01:15-01:30,32.000000,48.160000,72.240000,96.320000,96.320000,24.080000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,12.180000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,37.570000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,121.360000,21.190000,12.040000,9.630000,2.890000,66.640000,0.970000,0.000000,90.540000,38.530000,240.800000,0.610000,0.880000,0.360000,2120.59

7,01:30-01:45,32.000000,48.160000,72.240000,96.320000,96.320000,24.080000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,12.180000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,35.750000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,121.360000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,2046.53

8,01:45-02:00,32.000000,48.160000,72.240000,96.320000,96.320000,24.080000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,12.180000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,35.290000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,121.360000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,2046.07

9,02:00-02:15,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1805

10,02:15-02:30,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1805

11,02:30-02:45,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1805

12,02:45-03:00,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,47.640000,12.410000,0.000000,38.530000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,14.070000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.580000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1805

13,03:00-03:15,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1718.32

14,03:15-03:30,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1718.32

15,03:30-03:45,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1718.32

16,03:45-04:00,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.610000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1718.32

17,04:00-04:15,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1718.14

18,04:15-04:30,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,0.000000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,0.000000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1718.14

19,04:30-04:45,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1749.93

20,04:45-05:00,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,67.420000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1749.93

21,05:00-05:15,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1706.59

22,05:15-05:30,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1706.59

23,05:30-05:45,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1706.59

24,05:45-06:00,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.430000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,36.120000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.530000,0.000000,0.670000,0.000000,21.190000,12.040000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1706.59

25,06:00-06:15,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.670000,0.000000,0.670000,0.000000,21.190000,0.000000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1658.29

26,06:15-06:30,32.000000,0.000000,72.240000,96.320000,96.320000,0.000000,0.000000,24.080000,0.000000,32.000000,0.000000,12.410000,0.000000,0.000000,0.000000,0.520000,24.080000,48.160000,12.410000,37.210000,4.820000,13.150000,0.000000,14.720000,24.000000,27.930000,37.210000,11.700000,0.000000,48.160000,0.000000,0.000000,163.980000,48.160000,37.210000,48.160000,83.970000,0.000000,0.000000,0.880000,0.000000,24.080000,0.000000,1.930000,96.320000,24.080000,0,24.080000,0.480000,1.590000,0.670000,0.000000,0.670000,0.000000,21.190000,0.000000,7.710000,2.890000,66.640000,0.970000,0.000000,90.540000,0.000000,240.800000,0.610000,0.880000,0.360000,1658.29

