Block,Time,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23727,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/MC120240501NR23436,NR/01102023/31102037/L_NR_2019_11,NR/01052024/31052024/DC20240501NR23726,NR/30092023/31122025/SH-07,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/2-R1,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/IEX-240323-06617_1,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01052024/31052024/M20240501NR23406,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/DC20240501NR23728,NR/01052024/31052024/DC20240501NR23735,NR/01102023/19072037/LT-05,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/16042024/31052024/IEX_240323_06618,NR/01102023/30042040/GNA_LT_36,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05
1,00:00-00:15,0.000000,0.000000,5.800000,28.260000,14.500000,7.080000,4.830000,30.930000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.990000,100.710000,16.120000,19.330000,6.690000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,15.140000,48.340000,0.000000,0,0,0,9.34,10.66,0,0,10.67,23.33,0,0,0,23.33,0,0,0,0,0,0,6.81,32

2,00:15-00:30,0.000000,0.000000,5.800000,28.260000,14.500000,7.080000,4.830000,30.930000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.990000,100.710000,16.120000,19.330000,6.690000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,15.140000,48.340000,0.000000,0,0,0,9.34,10.84,0,0,10.83,23.33,0,0,0,23.33,0,0,0,0,0,0,6.81,32.5

3,00:30-00:45,0.000000,0.000000,5.800000,28.260000,14.500000,7.080000,4.830000,30.930000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.630000,100.710000,16.120000,19.330000,6.690000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,15.140000,48.340000,0.000000,0,0,0,9.34,10.84,0,0,10.83,23.33,0,0,0,23.33,0,0,0,0,0,0,6.81,32.5

4,00:45-01:00,0.000000,0.000000,5.800000,28.260000,14.500000,7.080000,4.830000,30.930000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.630000,100.710000,16.120000,19.330000,6.690000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,15.140000,48.340000,0.000000,0,0,0,9.66,11,0,0,11,23.33,0,0,0,23.33,0,0,0,0,0,0,6.81,33

5,01:00-01:15,0.000000,18.900000,5.800000,28.260000,14.500000,6.920000,4.830000,30.930000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.430000,100.710000,15.840000,19.330000,6.690000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,14.950000,48.340000,0.000000,0,0,0,9.66,11.16,0,0,11.17,23.67,0,0,0,23.67,0,0,0,0,0,0,6.81,33.5

6,01:15-01:30,0.000000,18.900000,5.800000,28.260000,14.500000,6.920000,4.830000,30.930000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.430000,100.710000,15.840000,19.330000,6.690000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,14.950000,48.340000,0.000000,0,0,0,10,11.5,0,0,11.5,24,0,0,0,24,0,0,0,0,0,0,6.81,34.5

7,01:30-01:45,0.000000,23.510000,5.800000,28.260000,14.500000,6.920000,4.830000,23.510000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.430000,100.710000,8.640000,19.330000,6.610000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,14.950000,48.340000,0.000000,0,0,0,7.34,10,0,0,10,24.33,0,0,0,24.33,0,0,0,0,0,0,6.81,30

8,01:45-02:00,0.000000,23.510000,5.800000,28.260000,14.500000,6.920000,4.830000,23.510000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.430000,100.710000,8.640000,19.330000,6.610000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,14.950000,48.340000,0.000000,0,0,0,7.34,9.66,0,0,9.67,24.67,0,0,0,24.67,0,0,0,0,0,0,6.81,29

9,02:00-02:15,0.000000,23.510000,5.800000,28.260000,14.500000,6.920000,4.830000,23.510000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.250000,100.710000,8.640000,19.330000,6.610000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,14.760000,48.340000,0.000000,0,0,0,7.34,9.34,0,0,9.33,20.67,0,0,0,20.67,0,0,0,0,0,0,6.01,28

10,02:15-02:30,0.000000,24.670000,5.800000,28.260000,14.500000,6.920000,4.830000,24.670000,19.330000,0.000000,46.400000,262.460000,0.000000,48.340000,7.250000,100.710000,8.640000,19.330000,6.610000,87.200000,29.070000,48.340000,0.000000,39.630000,0.000000,273.330000,6.770000,0.000000,57.970000,14.760000,48.340000,0.000000,0,0,0,7.34,9,0,0,9,20.33,0,0,0,20.33,0,0,0,0,0,0,6.01,27

