Block,Time,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/IEX_240416_00120_1,NR/01052024/31052024/2-R1,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23728,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01052024/31052024/DC20240501NR23726,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/21052024/21052024/DD20240521NR24543,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/DC20240501NR23735,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/16042024/31052024/IEX_240323_06618,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,0.000000,30.890000,10.410000,30.280000,15.850000,11.700000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,241.320000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.750000,48.260000,0.000000,0.000000,13.6,0,0,0,0,0,0,0,21.67,21.66,47,0,0,15.34,0,65,47,0,0,0,0

2,00:15-00:30,0.000000,30.890000,10.410000,30.280000,15.850000,11.700000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,241.320000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.750000,48.260000,0.000000,0.000000,13,0,0,0,0,0,0,0,20.5,20.5,44,0,0,16,0,61.5,44,0,0,0,0

3,00:30-00:45,0.000000,30.890000,10.410000,30.280000,15.850000,11.700000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,241.320000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.750000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,21.17,21.16,44.67,0,0,16.66,0,63.5,44.67,0,0,0,0

4,00:45-01:00,0.000000,30.890000,10.410000,30.280000,15.850000,11.700000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,241.320000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.750000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,22,22,45,0,0,17.34,0,66,45,0,0,0,0

5,01:00-01:15,0.000000,30.890000,10.410000,29.770000,15.850000,11.510000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,96.530000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.600000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,23,23,45.33,0,0,19,0,69,45.33,0,0,0,0

6,01:15-01:30,0.000000,30.890000,10.410000,29.770000,15.850000,11.510000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,96.530000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.600000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,23.17,23.16,46,0,0,19,0,69.5,46,0,0,0,0

7,01:30-01:45,0.000000,30.890000,10.410000,29.770000,15.850000,11.510000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,96.530000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.600000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,23.33,23.34,55,0,0,21.66,0,70,55,0,0,0,0

8,01:45-02:00,0.000000,30.890000,10.410000,29.770000,15.850000,11.510000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,96.530000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.600000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,24.17,24.16,55.67,0,0,22,0,72.5,55.67,0,0,0,0

9,02:00-02:15,0.000000,30.890000,10.410000,29.770000,15.670000,11.320000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,0.000000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.520000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,24.5,24.5,53.33,0,0,22.34,0,73.5,53.33,0,0,0,0

10,02:15-02:30,0.000000,30.890000,10.410000,29.770000,15.670000,11.320000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,0.000000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.520000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,25,25,54,0,0,22.34,0,75,54,0,0,0,0

11,02:30-02:45,0.000000,30.890000,10.410000,29.770000,15.670000,11.320000,46.330000,48.260000,262.080000,0.000000,14.480000,39.580000,6.760000,87.070000,30.890000,4.830000,252.910000,0.000000,48.260000,29.030000,19.310000,100.560000,57.890000,19.310000,5.790000,57.920000,7.660000,0.000000,10.520000,48.260000,0.000000,0.000000,9.01,0,0,0,0,0,0,0,25.83,25.84,58.33,0,0,22.34,0,77.5,58.33,0,0,0,0

