Block,Time,NR/01102023/05012040/L_NR_2020_02,SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_02,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/IEX_240416_00120_1,NR/01052024/31052024/2-R1,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/M20240501NR23406,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/26122029/SH-06,NR/01052024/31052024/IEX-240324-06625_1,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,WR/01102023/16072048/L_NR_2022_08,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/IEX-240323-06617_1,NR/26072023/25122043/L_NR_2023_10,NR/01052024/31052024/DC20240501NR23728,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/19072037/LT-05,NR/01052024/31052024/DC20240501NR23735,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/DC20240501NR23726,NR/26072023/31072042/L_NR_2023_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/16042024/31052024/IEX_240323_06618,NR/01102023/31052040/LT-31,NR/01042024/31072024/LT_MEJA_DELHI
1,00:00-00:15,3.070000,9.06,262.570000,5.800000,46.420000,48.360000,0.000000,100.750000,273.450000,39.650000,16.16,0,0.000000,48.5,16.17,12.830000,12.860000,19.340000,32.67,0,0,0.000000,14,87.230000,19.340000,0,6.770000,0,0,115.620000,0.000000,0,0,14.510000,4.840000,0,25.730000,29.300000,0,0,0.000000,3.690000,12.860000,0,0,48.360000,3.110000,0.000000,0,32.67,48.360000,0.000000,16.130000

2,00:15-00:30,3.070000,8.86,262.570000,5.800000,46.420000,48.360000,0.000000,100.750000,273.450000,39.650000,16.5,0,0.000000,49.5,16.5,12.830000,12.860000,19.340000,32.67,0,0,0.000000,14.34,87.230000,19.340000,0,6.770000,0,0,115.620000,0.000000,0,0,14.510000,4.840000,0,25.730000,29.300000,0,0,0.000000,3.690000,12.860000,0,0,48.360000,3.500000,0.000000,0,32.67,48.360000,0.000000,16.130000

3,00:30-00:45,3.070000,8.46,262.570000,5.800000,46.420000,48.360000,0.000000,100.750000,273.450000,39.650000,16.66,0,0.000000,50,16.67,12.830000,12.860000,19.340000,32.67,0,0,0.000000,14.34,87.230000,19.340000,0,6.770000,0,0,115.620000,0.000000,0,0,14.510000,4.840000,0,25.730000,29.300000,0,0,0.000000,3.690000,12.860000,0,0,48.360000,3.890000,0.000000,0,32.67,48.360000,0.000000,16.130000

4,00:45-01:00,3.070000,8.06,262.570000,5.800000,46.420000,48.360000,0.000000,100.750000,273.450000,39.650000,16.5,0,0.000000,49.5,16.5,12.830000,12.860000,19.340000,32.67,0,0,0.000000,14.34,87.230000,19.340000,0,6.770000,0,0,115.620000,0.000000,0,0,14.510000,4.840000,0,25.730000,29.300000,0,0,0.000000,3.690000,12.860000,0,0,48.360000,3.890000,0.000000,0,32.67,48.360000,0.000000,16.130000

5,01:00-01:15,3.070000,7.66,262.570000,5.800000,46.420000,48.360000,0.000000,100.750000,273.450000,39.650000,13,0,0.000000,39,13,12.740000,12.860000,19.340000,22,0,0,0.000000,14,87.230000,19.340000,0,6.770000,0,0,115.620000,0.000000,0,0,14.510000,4.840000,0,26.240000,29.300000,0,0,0.000000,3.690000,12.860000,0,0,48.360000,3.970000,0.000000,0,22,48.360000,0.000000,16.130000

