Block,Time,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/DC20240501NR23726,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/01052024/31052024/DC20240501NR23735,NR/01102023/30042040/GNA_LT_36,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/31052040/LT-31,NR/01052024/31052024/IEX-240323-06617_1,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/IEX_240415_00115_1,NR/01102023/15082037/GNA_NR_2012_01,NR/01052024/31052024/M20240501NR23406,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01052024/31052024/2-R1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/DC20240501NR23728,NR/16042024/31052024/IEX_240323_06618,NR/01052024/31052024/MC120240501NR23436,NR/01052024/31052024/IEX_240416_00120_1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19
1,00:00-00:15,16.420000,0.000000,4.830000,87.170000,10.340000,0.000000,115.910000,5.800000,24.700000,57.980000,0.000000,19.330000,0.000000,19.330000,273.250000,11.340000,0.000000,0.000000,39.620000,10.570000,30.280000,30.920000,30.920000,48.320000,16.120000,6.760000,48.320000,14.500000,46.390000,0.000000,260.790000,38.34,38.33,0,0,0,0,22.01,0,0,0,0,0,0,0,81.67,0,115,0,81.67,41.66,0

2,00:15-00:30,16.420000,0.000000,4.830000,87.170000,10.340000,0.000000,115.910000,5.800000,24.700000,57.980000,0.000000,19.330000,0.000000,19.330000,273.250000,11.340000,0.000000,0.000000,39.620000,10.570000,30.280000,30.920000,30.920000,48.320000,16.120000,6.760000,48.320000,14.500000,46.390000,0.000000,260.790000,38.34,38.33,0,0,0,0,22.21,0,0,0,0,0,0,0,81.67,0,115,0,81.67,41.66,0

3,00:30-00:45,16.420000,0.000000,4.830000,87.170000,10.340000,0.000000,115.530000,5.800000,24.700000,57.980000,0.000000,19.330000,0.000000,19.330000,273.250000,11.340000,0.000000,0.000000,39.620000,10.570000,30.780000,30.920000,30.920000,48.320000,16.120000,6.760000,48.320000,14.500000,46.390000,0.000000,260.790000,38.34,38.33,0,0,0,0,34.02,0,0,0,0,0,0,0,81.67,0,115,0,81.67,41.66,0

4,00:45-01:00,16.420000,0.000000,4.830000,87.170000,10.340000,0.000000,115.530000,5.800000,24.700000,57.980000,0.000000,19.330000,0.000000,19.330000,273.250000,11.340000,0.000000,0.000000,39.620000,10.570000,30.780000,30.920000,30.920000,48.320000,16.120000,6.760000,48.320000,14.500000,46.390000,0.000000,260.790000,38.34,38.33,0,0,0,0,33.62,0,0,0,0,0,0,0,81.67,0,115,0,81.67,41.66,0

5,01:00-01:15,16.240000,0.000000,4.830000,87.170000,10.340000,0.000000,115.530000,5.800000,24.700000,57.980000,0.000000,19.330000,0.000000,19.330000,273.250000,11.340000,0.000000,0.000000,39.620000,10.570000,30.780000,30.920000,30.920000,48.320000,16.120000,6.760000,48.320000,14.500000,46.390000,0.000000,260.790000,38.34,38.33,0,0,0,0,33.22,0,0,0,0,0,0,0,81.67,0,115,0,81.67,41.66,0

