Column1,Time,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/3733,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4168,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/02/1250,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/20/9046,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/9606,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/3514,NR/01102023/19072037/LT-05,GNA/WR/2025/01/01/8625,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/01/3945
1,00:00-00:15,16,12.81,6,6.67,0,16,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

2,00:15-00:30,15.66,12.01,6,6.67,0,15.67,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

3,00:30-00:45,15.34,11.41,6,6.67,0,15.33,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

4,00:45-01:00,15,10.8,6,6.67,0,15,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

5,01:00-01:15,14.66,10.2,6,6.67,0,14.67,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

6,01:15-01:30,14.34,9.6,6,6.67,0,14.33,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

7,01:30-01:45,14,9,6,6.67,0,14,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0,26.92,0,0,19.23,70.13,0,100.18,25

8,01:45-02:00,13.34,8.4,6,6.67,0,13.33,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0,26.92,0,0,19.23,70.13,0,100.18,25

9,02:00-02:15,12.66,8.2,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

10,02:15-02:30,12.66,8,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

11,02:30-02:45,12.66,7.8,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

12,02:45-03:00,12.66,7.8,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,0,0,1.34,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

13,03:00-03:15,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

14,03:15-03:30,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

15,03:30-03:45,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

16,03:45-04:00,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.3,0,8.65,0.62,26.92,0,0,19.23,70.13,0,100.18,23.08

17,04:00-04:15,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.2,0,8.65,0,26.92,0,0,19.23,70.13,0,100.18,23.08

18,04:15-04:30,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.2,0,8.65,0,26.92,0,0,19.23,70.13,0,100.18,23.08

19,04:30-04:45,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.2,3,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

20,04:45-05:00,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,23.08,48.08,23.08,0,0,0,0,0,0,0,0,0,0,135.59,0,0,48.08,59.46,0,1.2,3,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,23.08

21,05:00-05:15,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,168.2,0,0,48.08,59.46,0,1.3,3,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

22,05:15-05:30,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,149.54,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,168.2,0,0,48.08,59.46,0,1.3,3,8.65,0.65,26.92,0,0,19.23,70.13,0,100.18,25

23,05:30-05:45,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,192.32,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,168.2,0,0,48.08,61.56,0,1.3,3,8.65,0.65,26.92,0,0,19.23,65.98,0,100.18,25

24,05:45-06:00,12.66,7.4,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,230.78,28.85,25,48.08,25,0,0,0,0,0,0,0,0,0,0,230.35,0,0,48.08,74.55,0,1.3,3,8.65,0.65,26.92,0,0,19.23,65.98,0,100.18,25

25,06:00-06:15,12.66,9,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,271.89,28.85,28.85,48.08,28.85,0,0,0,0,0,0,0,0,0,0,230.35,0,0,48.08,74.55,0,1.3,3,8.65,0.65,26.92,0,0,19.23,65.98,0,100.18,28.85

26,06:15-06:30,12.66,9,6,6.67,0,12.67,0,0,6.67,19.99,0,30.77,3,0,1.3,0,0,0,20.19,0.95,0,0,271.89,28.85,28.85,48.08,28.85,0,0,0,0,0,0,0,0,0,0,261.07,0,0,48.08,86.74,0,1.3,3,8.65,0.65,26.92,0,0,19.23,65.98,0,100.18,28.85

27,06:30-06:45,12.66,8.8,6,6.67,0,12.67,0,0,6.67,19.99,0,15.39,3,0,1.3,0,0,0,20.19,0.95,0,0,271.89,28.85,30.77,48.08,30.77,0,0,0,0,0,0,0,0,0,0,261.07,0,0,48.08,86.74,0,1.3,3,8.65,0,26.92,0,0,19.23,65.98,0,100.18,30.77

28,06:45-07:00,12.66,8.6,6,6.67,0,12.67,0.93,1.67,6.67,19.99,1,15.39,3,0,1.3,0,0,0,20.19,0.95,0,0,271.89,28.85,30.77,48.08,30.77,0,0,0,0,0,0,0,0,0,0,261.07,0,0,48.08,86.74,0,1.3,3,8.65,0,26.92,0,0,19.23,65.98,0,100.18,30.77

29,07:00-07:15,12.66,8.4,6,6.67,1.01,12.67,7.06,6.62,6.67,19.99,3,15.39,0,0,1.3,7.69,9.62,30.77,20.19,0.95,96.16,5.77,271.89,28.85,36.54,48.08,36.54,0,0,1,1,0,0,2,0,0,0.06,261.07,0.06,0,48.08,86.74,90.39,1.3,0,14.42,0.62,26.92,0,0.06,19.23,65.98,50,100.18,43.27

30,07:15-07:30,12.66,8.4,6,6.67,6.62,12.67,20.88,16.02,6.67,19.99,7,15.39,0,0,1.3,7.69,9.62,30.77,20.19,0.95,96.16,5.77,271.89,28.85,36.54,48.08,36.54,0.01,0.03,2,4,0.26,1,3,1,1,0.25,261.07,0.25,0,48.08,86.74,90.39,1.3,0,14.42,0.62,26.92,0,0.25,19.23,113.12,50,100.18,43.27

